,thresholds,accuracy,recall,precision
21,0.3862224934169374,0.6474358974358975,0.375,0.4186046511627907
20,0.38689583964983604,0.6474358974358975,0.3541666666666667,0.4146341463414634
22,0.38432004219228466,0.6410256410256411,0.375,0.4090909090909091
6,0.4633860352001801,0.6794871794871795,0.08333333333333333,0.4
23,0.37206536998540685,0.6282051282051282,0.3958333333333333,0.3958333333333333
24,0.3715792891319207,0.6217948717948718,0.3958333333333333,0.3877551020408163
29,0.3565868959471903,0.6025641025641025,0.4583333333333333,0.3793103448275862
25,0.366967889851162,0.6089743589743589,0.4166666666666667,0.37735849056603776
5,0.46648233719325055,0.6794871794871795,0.0625,0.375
27,0.36037464703554084,0.6025641025641025,0.4375,0.375
30,0.3563479203598689,0.5961538461538461,0.4583333333333333,0.3728813559322034
31,0.35513587606529756,0.5897435897435898,0.4791666666666667,0.3709677419354839
26,0.3625974542206163,0.6025641025641025,0.4166666666666667,0.37037037037037035
28,0.3574532195047385,0.5961538461538461,0.4375,0.3684210526315789
35,0.3499366921240952,0.5769230769230769,0.5208333333333334,0.36764705882352944
37,0.34783772640650557,0.5705128205128205,0.5416666666666666,0.36619718309859156
32,0.353900460424938,0.5833333333333334,0.4791666666666667,0.36507936507936506
33,0.35057775090514065,0.5769230769230769,0.5,0.36363636363636365
18,0.40754331587995485,0.6346153846153846,0.25,0.36363636363636365
36,0.34888108790933847,0.5705128205128205,0.5208333333333334,0.36231884057971014
19,0.39832530783250314,0.6282051282051282,0.2708333333333333,0.3611111111111111
38,0.3471797719743494,0.5641025641025641,0.5416666666666666,0.3611111111111111
34,0.3500411640984663,0.5705128205128205,0.5,0.3582089552238806
7,0.44650442345000196,0.6666666666666666,0.10416666666666667,0.35714285714285715
51,0.30846543260660914,0.5128205128205128,0.7291666666666666,0.35714285714285715
53,0.3027307427050075,0.5064102564102564,0.75,0.3564356435643564
45,0.31924918540137187,0.5256410256410257,0.6666666666666666,0.35555555555555557
17,0.40770190111531085,0.6346153846153846,0.22916666666666666,0.3548387096774194
49,0.31054156449147263,0.5128205128205128,0.7083333333333334,0.3541666666666667
59,0.28660797903077306,0.4807692307692308,0.8333333333333334,0.35398230088495575
52,0.30786078735183814,0.5064102564102564,0.7291666666666666,0.35353535353535354
54,0.30165814067468466,0.5,0.75,0.35294117647058826
46,0.3188949145808182,0.5192307692307693,0.6666666666666666,0.3516483516483517
58,0.29131700280928224,0.4807692307692308,0.8125,0.35135135135135137
47,0.3138927850131893,0.5128205128205128,0.6875,0.35106382978723405
60,0.284831617449458,0.47435897435897434,0.8333333333333334,0.3508771929824561
39,0.339140531125651,0.5448717948717948,0.5625,0.35064935064935066
50,0.309352879524969,0.5064102564102564,0.7083333333333334,0.35051546391752575
61,0.27838727956984544,0.46794871794871795,0.8541666666666666,0.3504273504273504
66,0.25692774082535114,0.44871794871794873,0.9166666666666666,0.3492063492063492
55,0.2980273904264811,0.48717948717948717,0.7708333333333334,0.3490566037735849
67,0.2552502263120007,0.4423076923076923,0.9375,0.3488372093023256
57,0.2935603150934034,0.4807692307692308,0.7916666666666666,0.3486238532110092
44,0.32148516773903774,0.5192307692307693,0.6458333333333334,0.34831460674157305
12,0.4224527677113569,0.6474358974358975,0.16666666666666666,0.34782608695652173
62,0.27038238829990957,0.46153846153846156,0.8541666666666666,0.3474576271186441
48,0.31312690370667345,0.5064102564102564,0.6875,0.3473684210526316
65,0.263518088494179,0.44871794871794873,0.8958333333333334,0.3467741935483871
68,0.2512825405803347,0.4358974358974359,0.9375,0.34615384615384615
40,0.3373150657213158,0.5384615384615384,0.5625,0.34615384615384615
69,0.24452984477360437,0.42948717948717946,0.9583333333333334,0.3458646616541353
56,0.2961846469502721,0.4807692307692308,0.7708333333333334,0.34579439252336447
41,0.33322265852267774,0.532051282051282,0.5833333333333334,0.345679012345679
15,0.4178524613895941,0.6346153846153846,0.20833333333333334,0.3448275862068966
63,0.26675837084312315,0.44871794871794873,0.875,0.3442622950819672
70,0.24394828836561608,0.4230769230769231,0.9583333333333334,0.34328358208955223
64,0.26460905456636935,0.4423076923076923,0.875,0.34146341463414637
42,0.33266780869414375,0.5256410256410257,0.5833333333333334,0.34146341463414637
43,0.33142724514048033,0.5128205128205128,0.6041666666666666,0.3372093023255814
4,0.4760386414411184,0.6794871794871795,0.041666666666666664,0.3333333333333333
13,0.4209175403755808,0.6346153846153846,0.1875,0.3333333333333333
8,0.44032492932477446,0.6602564102564102,0.10416666666666667,0.3333333333333333
11,0.4255205933020367,0.6474358974358975,0.14583333333333334,0.3333333333333333
16,0.41470933882881156,0.6282051282051282,0.20833333333333334,0.3333333333333333
71,0.2282405645824762,0.38461538461538464,0.9791666666666666,0.33098591549295775
72,0.22793294787320523,0.3782051282051282,0.9791666666666666,0.32867132867132864
14,0.41943650059091214,0.6282051282051282,0.1875,0.32142857142857145
9,0.42798732017842417,0.6474358974358975,0.125,0.3157894736842105
73,0.18737115389877576,0.3141025641025641,1.0,0.3096774193548387
10,0.42707741490535606,0.6410256410256411,0.125,0.3
3,0.48872077749016135,0.6794871794871795,0.020833333333333332,0.25
1,0.5238348198338038,0.6923076923076923,0.0,0.0
2,0.5056668399594391,0.6858974358974359,0.0,0.0
0,1.5238348198338039,0.6923076923076923,0.0,0.0
