,thresholds,accuracy,recall,precision
2,0.4669052817351635,0.6993865030674846,0.02040816326530612,0.5
3,0.46468695003494837,0.6993865030674846,0.04081632653061224,0.5
6,0.3979940541059089,0.6871165644171779,0.10204081632653061,0.4166666666666667
7,0.39777777108205226,0.6809815950920245,0.10204081632653061,0.38461538461538464
31,0.31494570810617367,0.5950920245398773,0.5714285714285714,0.3835616438356164
32,0.3099265776117337,0.588957055214724,0.5918367346938775,0.3815789473684211
22,0.3398980926564656,0.6196319018404908,0.40816326530612246,0.37735849056603776
33,0.3090220684767138,0.5828220858895705,0.5918367346938775,0.37662337662337664
43,0.292366918557251,0.5460122699386503,0.7755102040816326,0.37623762376237624
39,0.301335268287919,0.558282208588957,0.6938775510204082,0.37362637362637363
35,0.30732897283354066,0.5705521472392638,0.6326530612244898,0.37349397590361444
21,0.34127336463995916,0.6196319018404908,0.3877551020408163,0.37254901960784315
36,0.30672693822518693,0.5644171779141104,0.6530612244897959,0.37209302325581395
38,0.30308559672721297,0.558282208588957,0.673469387755102,0.3707865168539326
23,0.3388389200792893,0.6134969325153374,0.40816326530612246,0.37037037037037035
34,0.30799458308362626,0.5705521472392638,0.6122448979591837,0.37037037037037035
40,0.29937341914665205,0.5460122699386503,0.7142857142857143,0.3684210526315789
37,0.3058344420244805,0.558282208588957,0.6530612244897959,0.367816091954023
42,0.29489483144586986,0.5398773006134969,0.7346938775510204,0.3673469387755102
14,0.3677976640029334,0.6503067484662577,0.22448979591836735,0.36666666666666664
41,0.29926719762514753,0.5398773006134969,0.7142857142857143,0.3645833333333333
5,0.4010118983747951,0.6809815950920245,0.08163265306122448,0.36363636363636365
26,0.328718308713568,0.5950920245398773,0.4489795918367347,0.36065573770491804
28,0.32673918996250395,0.588957055214724,0.46938775510204084,0.359375
24,0.3318381197018525,0.5950920245398773,0.42857142857142855,0.3559322033898305
15,0.3653268263140639,0.6441717791411042,0.22448979591836735,0.3548387096774194
27,0.32744708238463116,0.588957055214724,0.4489795918367347,0.3548387096774194
29,0.3265973207431482,0.5828220858895705,0.46938775510204084,0.35384615384615387
30,0.3243308849491024,0.5766871165644172,0.4897959183673469,0.35294117647058826
25,0.3300759603183517,0.588957055214724,0.42857142857142855,0.35
13,0.3680280808809798,0.6441717791411042,0.20408163265306123,0.3448275862068966
18,0.34916147455892693,0.6134969325153374,0.30612244897959184,0.3409090909090909
20,0.3467703409013698,0.6073619631901841,0.32653061224489793,0.3404255319148936
52,0.2563404919343861,0.43558282208588955,0.8979591836734694,0.33587786259541985
9,0.38430136696398454,0.656441717791411,0.14285714285714285,0.3333333333333333
53,0.250776114564553,0.4294478527607362,0.8979591836734694,0.3333333333333333
50,0.26223353791211074,0.43558282208588955,0.8775510204081632,0.3333333333333333
47,0.27389548433794514,0.44785276073619634,0.8367346938775511,0.3333333333333333
4,0.4033999153651228,0.6809815950920245,0.061224489795918366,0.3333333333333333
12,0.36913384926970033,0.6441717791411042,0.1836734693877551,0.3333333333333333
19,0.34832313992351355,0.6073619631901841,0.30612244897959184,0.3333333333333333
51,0.2565373521193799,0.4294478527607362,0.8775510204081632,0.33076923076923076
48,0.26824253322504626,0.43558282208588955,0.8571428571428571,0.33070866141732286
46,0.2759726310154343,0.44785276073619634,0.8163265306122449,0.3305785123966942
56,0.22820683107703407,0.4049079754601227,0.9387755102040817,0.32857142857142857
54,0.23738405137698104,0.4110429447852761,0.9183673469387755,0.3284671532846715
49,0.26721420400556517,0.4294478527607362,0.8571428571428571,0.328125
44,0.2760863395216425,0.44785276073619634,0.7959183673469388,0.3277310924369748
57,0.2267896896718513,0.3987730061349693,0.9387755102040817,0.3262411347517731
55,0.23528620048920212,0.4049079754601227,0.9183673469387755,0.32608695652173914
17,0.3496569693697069,0.6073619631901841,0.2857142857142857,0.32558139534883723
45,0.27603719842992797,0.44171779141104295,0.7959183673469388,0.325
10,0.3722803408932661,0.6441717791411042,0.16326530612244897,0.32
58,0.20648788640303167,0.37423312883435583,0.9591836734693877,0.3197278911564626
59,0.2055447282026009,0.36809815950920244,0.9591836734693877,0.31756756756756754
8,0.3940501830975664,0.656441717791411,0.12244897959183673,0.3157894736842105
60,0.19337579768528035,0.3496932515337423,0.9795918367346939,0.3137254901960784
61,0.1922385662815089,0.34355828220858897,0.9795918367346939,0.3116883116883117
11,0.36941890179130515,0.6380368098159509,0.16326530612244897,0.3076923076923077
62,0.1620862245968058,0.3067484662576687,1.0,0.30246913580246915
16,0.35473439863603445,0.6012269938650306,0.24489795918367346,0.3
1,0.48840355584070416,0.6993865030674846,0.0,0.0
0,1.488403555840704,0.6993865030674846,0.0,0.0
