,thresholds,accuracy,recall,precision
5,0.4485136333257011,0.65625,0.1111111111111111,0.5555555555555556
8,0.41710245857262124,0.6484375,0.2,0.5
2,0.5044444680405069,0.6484375,0.022222222222222223,0.5
22,0.32705698242677816,0.640625,0.4444444444444444,0.4878048780487805
20,0.32940690304093906,0.640625,0.4222222222222222,0.48717948717948717
23,0.32197991964153516,0.6328125,0.4444444444444444,0.47619047619047616
21,0.3276637639586714,0.6328125,0.4222222222222222,0.475
19,0.33057337077309484,0.6328125,0.4,0.47368421052631576
9,0.4061949194568518,0.640625,0.2,0.47368421052631576
7,0.4181982275575404,0.640625,0.17777777777777778,0.47058823529411764
18,0.3379407922336823,0.625,0.35555555555555557,0.45714285714285713
17,0.33879149468695724,0.6171875,0.3333333333333333,0.4411764705882353
10,0.3687114501663082,0.625,0.2222222222222222,0.43478260869565216
6,0.4266818142000387,0.6328125,0.13333333333333333,0.42857142857142855
12,0.3560028911217946,0.6171875,0.24444444444444444,0.4230769230769231
16,0.3449705402630374,0.609375,0.28888888888888886,0.41935483870967744
11,0.36506767870524665,0.6171875,0.2222222222222222,0.4166666666666667
14,0.3472788824264693,0.609375,0.26666666666666666,0.41379310344827586
13,0.35249080723184967,0.609375,0.24444444444444444,0.4074074074074074
15,0.34615716456556295,0.6015625,0.26666666666666666,0.4
4,0.478576317649717,0.640625,0.044444444444444446,0.4
24,0.30321277466562707,0.5625,0.4666666666666667,0.39622641509433965
25,0.30222139764894584,0.5546875,0.4666666666666667,0.3888888888888889
26,0.2983251310531595,0.546875,0.4888888888888889,0.38596491228070173
27,0.2954027580936639,0.5390625,0.4888888888888889,0.3793103448275862
33,0.2775194247298134,0.515625,0.5777777777777777,0.37681159420289856
32,0.2829540105316677,0.515625,0.5555555555555556,0.373134328358209
30,0.2855842784917985,0.515625,0.5333333333333333,0.36923076923076925
28,0.28672422280326987,0.515625,0.5111111111111111,0.36507936507936506
34,0.26963397409237805,0.4921875,0.6,0.36486486486486486
42,0.2607431427867499,0.46875,0.6888888888888889,0.36470588235294116
31,0.2851132950647849,0.5078125,0.5333333333333333,0.36363636363636365
40,0.26159916840557323,0.46875,0.6666666666666666,0.3614457831325301
43,0.25914409515417913,0.4609375,0.6888888888888889,0.36046511627906974
35,0.2694694714262611,0.484375,0.6,0.36
29,0.28561564455861693,0.5078125,0.5111111111111111,0.359375
36,0.2655786327734996,0.4765625,0.6222222222222222,0.358974358974359
38,0.26272485155162434,0.46875,0.6444444444444445,0.35802469135802467
41,0.2614670951556186,0.4609375,0.6666666666666666,0.35714285714285715
59,0.1897705746131508,0.375,0.9555555555555556,0.35537190082644626
60,0.17512147944569836,0.3671875,0.9777777777777777,0.3548387096774194
37,0.2652993327087572,0.46875,0.6222222222222222,0.35443037974683544
62,0.16324611520820473,0.359375,1.0,0.3543307086614173
39,0.2624633713002043,0.4609375,0.6444444444444445,0.35365853658536583
61,0.17008613006988063,0.359375,0.9777777777777777,0.352
44,0.25156360687396606,0.4296875,0.7111111111111111,0.34782608695652173
58,0.206863479942418,0.3671875,0.9111111111111111,0.3474576271186441
52,0.2226868937063577,0.3828125,0.8444444444444444,0.34545454545454546
56,0.2118432156634603,0.3671875,0.8888888888888888,0.3448275862068966
45,0.2509627623875532,0.421875,0.7111111111111111,0.34408602150537637
46,0.24647120609811085,0.4140625,0.7333333333333333,0.34375
53,0.22059287905053238,0.375,0.8444444444444444,0.34234234234234234
54,0.21368362932237106,0.3671875,0.8666666666666667,0.34210526315789475
57,0.21017118026311252,0.359375,0.8888888888888888,0.3418803418803419
47,0.24468487878602108,0.40625,0.7333333333333333,0.3402061855670103
51,0.22605569419374838,0.375,0.8222222222222222,0.3394495412844037
55,0.2132606643759598,0.359375,0.8666666666666667,0.3391304347826087
50,0.23132020300108228,0.375,0.8,0.3364485981308411
3,0.4843541239549237,0.640625,0.022222222222222223,0.3333333333333333
49,0.2325317971919648,0.3671875,0.7777777777777778,0.330188679245283
48,0.23433764418057554,0.3671875,0.7555555555555555,0.3269230769230769
1,0.5189846306716575,0.6484375,0.0,0.0
0,1.5189846306716575,0.6484375,0.0,0.0
