,thresholds,accuracy,recall,precision
2,0.5320063842433443,0.6171875,0.02,1.0
3,0.5062397049869022,0.625,0.04,1.0
4,0.47758388343426655,0.640625,0.1,0.8333333333333334
5,0.46429787572296655,0.640625,0.12,0.75
6,0.4623099051654055,0.6328125,0.12,0.6666666666666666
13,0.41179820507490655,0.5859375,0.22,0.44
7,0.43702395450080045,0.59375,0.14,0.4375
12,0.41586625528669413,0.5859375,0.2,0.43478260869565216
11,0.4247986721837636,0.5859375,0.18,0.42857142857142855
14,0.4112393824311203,0.578125,0.22,0.4230769230769231
45,0.3441744422774872,0.5,0.76,0.4222222222222222
9,0.4303771672189628,0.5859375,0.16,0.42105263157894735
43,0.3459837844467913,0.5,0.74,0.42045454545454547
41,0.346590451968645,0.5,0.72,0.4186046511627907
46,0.34189322979828835,0.4921875,0.76,0.4175824175824176
40,0.3477855561017476,0.5,0.7,0.4166666666666667
44,0.3455299541280102,0.4921875,0.74,0.4157303370786517
55,0.32952331128768014,0.46875,0.88,0.41509433962264153
42,0.3462629994520593,0.4921875,0.72,0.41379310344827586
28,0.36769026022142487,0.53125,0.48,0.41379310344827586
57,0.3104352438375658,0.4609375,0.9,0.41284403669724773
30,0.3644028074091471,0.5234375,0.52,0.4126984126984127
8,0.4338301224818479,0.5859375,0.14,0.4117647058823529
56,0.31536752274260765,0.4609375,0.88,0.411214953271028
59,0.30237842732776526,0.453125,0.92,0.4107142857142857
47,0.33864096129511867,0.4765625,0.78,0.4105263157894737
29,0.36606900360498956,0.5234375,0.5,0.4098360655737705
54,0.3298343250573924,0.4609375,0.86,0.4095238095238095
58,0.30562967652592027,0.453125,0.9,0.4090909090909091
61,0.29183238591574784,0.4453125,0.94,0.40869565217391307
49,0.3331478191938289,0.46875,0.8,0.40816326530612246
53,0.3310573411294722,0.4609375,0.84,0.4077669902912621
39,0.34880325583299676,0.4921875,0.66,0.4074074074074074
60,0.2970683692653797,0.4453125,0.92,0.40707964601769914
48,0.3382823135690978,0.46875,0.78,0.40625
51,0.3314784798459409,0.4609375,0.82,0.40594059405940597
62,0.28648665093388326,0.4375,0.94,0.4051724137931034
37,0.3500275111868424,0.4921875,0.64,0.4050632911392405
50,0.33234245977712423,0.4609375,0.8,0.40404040404040403
63,0.280417825998177,0.4296875,0.96,0.40336134453781514
52,0.3313597194288588,0.453125,0.82,0.4019607843137255
10,0.4290108714220233,0.578125,0.16,0.4
38,0.350010483622896,0.484375,0.64,0.4
64,0.2798686868160324,0.421875,0.96,0.4
36,0.3508470146599194,0.484375,0.62,0.3974358974358974
34,0.357480007384022,0.4921875,0.58,0.3972602739726027
35,0.3547699976733754,0.484375,0.6,0.39473684210526316
33,0.36007791473980943,0.4921875,0.56,0.39436619718309857
31,0.3607038954157863,0.4921875,0.54,0.391304347826087
65,0.22741554960128188,0.390625,0.98,0.3888888888888889
66,0.2094038004723684,0.3828125,0.98,0.3858267716535433
32,0.36039584135098346,0.484375,0.54,0.38571428571428573
16,0.39621899806019334,0.546875,0.26,0.38235294117647056
27,0.3715829033994191,0.5078125,0.4,0.37735849056603776
15,0.39789838922565945,0.546875,0.24,0.375
25,0.3725661042003075,0.5078125,0.38,0.37254901960784315
22,0.3799835062999223,0.515625,0.34,0.3695652173913043
23,0.37428035262338133,0.5078125,0.36,0.3673469387755102
26,0.37159849512951415,0.5,0.38,0.36538461538461536
21,0.38581311476092844,0.515625,0.32,0.36363636363636365
24,0.3732073920618327,0.5,0.36,0.36
17,0.390969974077193,0.5234375,0.28,0.358974358974359
19,0.3877930340239457,0.515625,0.3,0.35714285714285715
18,0.3902602863215859,0.515625,0.28,0.35
20,0.3871770157068731,0.5078125,0.3,0.3488372093023256
1,0.6043216690313621,0.609375,0.0,0.0
0,1.604321669031362,0.609375,0.0,0.0
