,thresholds,accuracy,recall,precision
10,0.2777578563504396,0.35,0.8571428571428571,0.3333333333333333
11,0.22848824908614035,0.3,0.8571428571428571,0.3157894736842105
8,0.29485099271833304,0.35,0.7142857142857143,0.3125
6,0.3178878657906346,0.4,0.5714285714285714,0.3076923076923077
9,0.2788103854047465,0.3,0.7142857142857143,0.29411764705882354
7,0.3178613575782341,0.35,0.5714285714285714,0.2857142857142857
4,0.3189723028906151,0.4,0.42857142857142855,0.2727272727272727
5,0.31870889929932444,0.35,0.42857142857142855,0.25
3,0.32908772285655324,0.4,0.2857142857142857,0.2222222222222222
2,0.33057801967527045,0.4,0.14285714285714285,0.14285714285714285
0,1.4496042966298102,0.65,0.0,0.0
1,0.4496042966298102,0.65,0.0,0.0
