Profit,H1,L1,O1,C1,V1,HiLo1,H2,L2,O2,C2,V2,HiLo2,H3,L3,O3,C3,V3,HiLo3,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22,I23,I24,I25,I26,I27,I28,I29,I30
0,1.000205814,0.999845639,0.999897093,1,1,1.00072035,1.000051454,0.999485464,1.000051454,0.999948546,0.511627907,1.000843838,1.000617443,0.999948546,1.000617443,1.000102907,2.534883721,1.000993054,0,-0.0019,3.188763001,-50.44510386,0.00127267,1.000212246,25.4791587,-0.000263636,0.491452991,41.07444983,4.520348837,-0.158,-16564.1521,32.09217738,-0.235294118,0.298392283,39.43209705,10,1,61.3767418,80000,0,49.18590192,-72.22222222,0.788321168,1.241047281,-18.65664088,0.324819719,0,47.25663584
0,1.00020556,0.999743049,0.999743049,1,1,1.000138753,0.99984583,0.999743049,0.99984583,0.999743049,0.060402685,1.000149031,0.99984583,0.999743049,0.999743049,0.99984583,0.167785235,1.000190143,1,-0.0006,-25.77768315,3.058103975,0.000913343,0.999858677,21.00885749,-9.70E-05,-0.183150189,54.11893247,0.562919463,0.045,-13804.12872,24.83748563,0.037037037,0.727272727,28.65698441,10,1,65.73285413,50000,1,41.63658339,-38.46153846,0.814814815,0.969552598,-0.835530763,0.591651684,0,23.24516157
0,1.000308404,0.999537394,1.000308404,1,1,1.000323824,1.000565407,1.000359805,1.000411205,1.000359805,0.05785124,1.000066821,1.000668209,1.000102801,1.000308404,1.000565407,0.082644628,1.00001028,0,-1.00E-04,4.270958169,-105.0552923,0.000828371,1.000224878,23.46288675,6.36E-05,-0.302197795,44.01418267,0.365702479,-0.111,-13871.7303,40.33748362,-0.090909091,1.039548023,48.97826357,80,1,40.43312411,80000,0,37.70165777,-59.09090909,0.867924528,2.430275293,-0.991366009,0,0,31.96060082
1,1.000051356,0.999486442,0.999743221,1,1,1.000349219,1.000154067,0.999075596,0.999281019,0.999743221,1.317137229,1.000323541,0.999948644,0.998099836,0.999948644,0.999281019,2.745239659,1.000246508,1,0.0017,13.10162678,-4.246284501,0.0016004,1.000096292,23.7946767,7.27E-06,-2.25198416,54.5452378,1.13632633,-0.144,-16158.7711,37.55027323,-0.142857143,1.48501264,59.39051555,40,1,49.46052591,120000,0,43.64909778,-42.1875,1.005128205,0.789504089,3.720811975,0.400061003,0,36.21958439
0,1.000409689,0.999743944,0.999846367,1,1,1.000373841,1,0.999692733,0.999692733,0.999795155,0.166666667,1.000440416,1,0.9995391,1,0.999641522,0.952380952,1.000537717,0,-0.0007,-11.52753997,-33.9869281,0.001202976,1.000064014,20.23358109,-0.00010303,1.031746018,49.37283112,1.805059524,-0.431,-12617.71734,27.90469531,-0.384615385,0.391316296,34.33345456,0,1,66.66666667,80000,0,53.8067674,-52.63157895,0.744444444,1.007949502,-6.634193018,0.390594619,0,35.48954711
0,1.001025641,0.999538462,1.001025641,1,1,1.001835897,1.001538462,1.000615385,1.001128205,1.001076923,0.239659367,1.001964103,1.001230769,1.000615385,1.001179487,1.000923077,0.107055961,1.002020513,0,-0.0041,-31.88862107,-158.2512315,0.001332038,1.001301282,23.44798969,-0.000383636,0.936041081,22.13872563,0.284823601,-0.56,-14057.37891,42.34281766,-0.666666667,1.576081153,39.41328086,10,1,36.96447905,90000,0,35.71255072,-82.35294118,0.552631579,0.910711321,-46.7464209,0,0,33.62279611
0,1.000922509,1,1.000358754,1,1,1.000374129,1.000666257,1.000153752,1.000256253,1.000358754,0.926652142,1.000363879,1.000820008,0.999282493,0.999384994,1.000307503,1.347857662,1.000369004,1,0.0024,-2.175212056,88.24975418,0.002064832,0.999730935,17.56539437,0.000187273,0.69767442,48.98695267,0.866512346,0.088,-24397.23827,27.46914283,-0.140186916,1.259651145,48.92554683,100,1,58.27309499,120000,1,50.75259873,-28.125,0.992125984,2.927860069,0.256008357,0.852718987,1,25.42851934
0,1,0.998695743,0.998695743,1,1,1.000443447,0.999686978,0.998278381,0.999686978,0.998695743,1.922018349,1.000417362,1.000104341,0.999582638,0.999582638,0.999791319,0.610091743,0.999290484,1,-0.0006,-18.35619872,-44.44444444,0.002198374,0.999810883,22.75153575,-0.00023697,11.54761809,57.10392723,1.230504587,0.042,-43246.06207,28.98513275,0.044247788,0.956818888,56.81209112,40,1,43.13304061,83000,0,61.37527161,-54.79452055,0.931937173,0.121604381,7.624918099,0.366282628,0,34.27282851
0,1.000104477,0.999164185,0.999843285,1,1,1.001718644,1.001567152,0.99968657,1.001097007,0.999843285,3.295311745,1.001896255,1.001880583,1.001201484,1.001358199,1.001358199,1.927984534,1.001049992,0,-0.002,-17.9660992,-206.3023141,0.0021217,1.001149245,18.23314336,-0.000256364,0.448717949,36.10299603,1.454144514,-0.26,-42736.21168,31.77435691,-0.506849315,1.426565291,44.99491559,60,1,42.84674063,153000,0,40.54385255,-75,0.769230769,0.561409977,-24.17839653,0.077493568,0,29.46501906
0,1.000364754,0.999426815,0.999947892,1,1,1.000281382,1.000573185,0.999583138,1.000104216,0.999895784,0.482807616,1.000307436,1.000156323,0.99953103,0.99953103,1.000052108,0.108269395,1.000411651,1,0.0011,4.416768648,22.50803859,0.001694817,0.999921838,11.52119969,7.82E-05,-0.126984132,52.14121284,0.385336743,-0.056,-31912.95687,14.11839064,-0.068493151,1.376352016,41.87541792,40,1,71.3310087,143000,1,48.59744676,-51.85185185,1,1.417020715,1.772473792,0.873761722,0,20.63395688
0,1.000208236,0.999375293,0.99953147,1,1,1.000026029,0.999843823,0.999167057,0.999635587,0.999479411,3.436619718,1.000109324,0.999739705,0.997397053,0.998854704,0.999635587,7.107042254,1.000229059,1,-0.0017,22.60917783,29.43382077,0.001615822,0.999349263,35.03809331,-0.00021697,0.181405894,56.12506155,2.946478873,-0.169,-38093.14923,63.52087193,-0.793103448,1.305927342,50.55807356,0,1,45.83464771,120000,1,59.22997667,-21.875,0.850574713,1.087734391,1.897175883,0.67274154,0,55.13799907
1,1.000311284,0.999740597,0.999948119,1,1,1.000581064,1.000155642,1.000155642,1.000155642,1.000155642,0.114754098,1.00002594,1.000207523,0.999792477,0.999844358,1.000051881,0.786885246,0.999922179,0,-0.0005,-6.396495071,-90.51490515,0.001238151,1.000246433,16.88174382,-0.000130303,-3.523809871,48.27161032,0.850409836,-0.021,-30265.90901,32.47845706,-0.176470588,0.745381526,52.28197005,20,1,63.10282654,73000,0,48.88197949,-71.42857143,0.867346939,0.774217238,-1.305299193,0.024665491,0,34.23422791
0,1.000465381,0.999534619,1,1,1,1.000196494,1.000051709,1.000051709,1.000051709,1.000051709,0.016949153,1.000258545,0.999948291,0.999638037,0.999741455,0.999844873,2.677966102,1.000351621,1,0.0014,43.1226004,37.15846995,0.001313171,0.999909509,21.60337299,5.94E-05,0.288220548,48.76950236,10.50211864,-0.16,-26194.81333,40.19115511,-0.647058824,0.117275234,44.27019877,0,1,49.88086087,233000,1,51.1477644,-32.14285714,0.854545455,1.761232579,-4.072579326,0.852331374,0,31.56866223
1,1.000206761,0.999844929,1.000206761,1,1,1.000475551,1.000413522,0.99994831,0.99994831,1.000310142,3.7,1.000511734,1.00005169,0.999276336,0.999638168,0.999793239,1.5,1.00048072,0,-0.0013,-34.72155417,-48.82629108,0.001216427,1.000122764,13.19306201,-0.000118788,-0.579004351,49.57783934,3.7125,-0.006,-26279.15657,19.25883615,0.086956522,0.55667789,48.2950938,50,1,48.78001736,50000,0,40.57237946,-57.57575758,0.91509434,0.83585705,1.359449876,0.192305584,0,26.32981026
0,1.000153752,0.999846248,1.000102501,1,1,1.000153752,1.000461255,0.999897499,0.999897499,1.000102501,3.96969697,1.000143501,0.999846248,0.999487495,0.999743747,0.999641246,0.454545455,1.000143501,1,-0.0002,1.740152851,27.65647744,0.001264862,0.999923124,60.30839912,-3.21E-05,-0.166666676,67.54998918,2.556818182,0.164,-15587.70601,45.49279179,0.407407407,0.707160494,53.69035948,90,0,62.91750902,20000,1,62.92289158,-45,1.024390244,0.756295512,34.50877964,0.16277027,0,61.7140065
0,1.00030755,1,1.000153775,1,1,1.00030755,1.000153775,1.000153775,1.000153775,1.000153775,0.119047619,1.000025629,1.000256292,1.000153775,1.000256292,1.000153775,0.476190476,0.999969245,0,-0.0003,2.18579235,-108.1081081,0.000785785,1.000179404,61.98020786,-4.61E-05,0.654761895,53.23253805,0.544642857,0.375,-15599.78817,63.46281273,0.904761905,0.976320583,45.37134503,10,1,67.98427881,60000,0,62.64870985,-100,0.837209302,0.967352451,10.90435337,0,0,53.45808924
