,thresholds,accuracy,recall,precision
2,0.60875,0.7116564417177914,0.04081632653061224,1.0
3,0.5926201923076923,0.7055214723926381,0.061224489795918366,0.6
5,0.5825,0.7055214723926381,0.08163265306122448,0.5714285714285714
7,0.5675,0.7055214723926381,0.10204081632653061,0.5555555555555556
4,0.59125,0.6993865030674846,0.061224489795918366,0.5
6,0.5798863636363636,0.6993865030674846,0.08163265306122448,0.5
8,0.5575,0.6993865030674846,0.10204081632653061,0.5
41,0.4298011363636363,0.6073619631901841,0.5510204081632653,0.391304347826087
37,0.44017379679144386,0.6134969325153374,0.5102040816326531,0.390625
30,0.4576813725490196,0.6257668711656442,0.42857142857142855,0.3888888888888889
39,0.4325,0.6073619631901841,0.5306122448979592,0.3880597014925373
36,0.44125,0.6134969325153374,0.4897959183673469,0.3870967741935484
32,0.4553125,0.6196319018404908,0.4489795918367347,0.38596491228070173
42,0.42875,0.6012269938650306,0.5510204081632653,0.38571428571428573
38,0.43375,0.6073619631901841,0.5102040816326531,0.38461538461538464
34,0.44625,0.6134969325153374,0.46938775510204084,0.38333333333333336
40,0.43,0.6012269938650306,0.5306122448979592,0.38235294117647056
31,0.4575,0.6196319018404908,0.42857142857142855,0.38181818181818183
33,0.45375,0.6134969325153374,0.4489795918367347,0.3793103448275862
43,0.41600000000000004,0.588957055214724,0.5714285714285714,0.3783783783783784
29,0.45775,0.6196319018404908,0.40816326530612246,0.37735849056603776
35,0.44375,0.6073619631901841,0.46938775510204084,0.3770491803278688
44,0.415,0.5828220858895705,0.5714285714285714,0.37333333333333335
28,0.4625,0.6196319018404908,0.3877551020408163,0.37254901960784315
27,0.46439102564102563,0.6196319018404908,0.3673469387755102,0.3673469387755102
26,0.46625,0.6196319018404908,0.3469387755102041,0.3617021276595745
57,0.365,0.5153374233128835,0.7755102040816326,0.3584905660377358
58,0.35947328629032255,0.50920245398773,0.7959183673469388,0.3577981651376147
46,0.40125,0.5521472392638037,0.6122448979591837,0.35714285714285715
60,0.3525,0.5030674846625767,0.8163265306122449,0.35714285714285715
24,0.47375,0.6196319018404908,0.32653061224489793,0.35555555555555557
59,0.35625,0.5030674846625767,0.7959183673469388,0.35454545454545455
61,0.34875,0.49693251533742333,0.8163265306122449,0.35398230088495575
45,0.40375,0.5521472392638037,0.5918367346938775,0.35365853658536583
67,0.32125,0.4723926380368098,0.8775510204081632,0.34959349593495936
56,0.3734313725490196,0.50920245398773,0.7346938775510204,0.34951456310679613
49,0.3860511363636363,0.5276073619631901,0.6530612244897959,0.34782608695652173
12,0.5310511363636363,0.656441717791411,0.16326530612244897,0.34782608695652173
25,0.47350000000000003,0.6134969325153374,0.32653061224489793,0.34782608695652173
66,0.32625,0.4723926380368098,0.8571428571428571,0.34710743801652894
54,0.38125,0.5153374233128835,0.6938775510204082,0.3469387755102041
55,0.375,0.50920245398773,0.7142857142857143,0.3465346534653465
62,0.34055555555555556,0.4785276073619632,0.8163265306122449,0.3448275862068966
64,0.3325,0.4723926380368098,0.8367346938775511,0.3445378151260504
47,0.38802083333333337,0.5276073619631901,0.6326530612244898,0.34444444444444444
50,0.385,0.5214723926380368,0.6530612244897959,0.34408602150537637
52,0.383624080882353,0.5153374233128835,0.673469387755102,0.34375
70,0.27375,0.44785276073619634,0.9183673469387755,0.3435114503816794
63,0.33875,0.4723926380368098,0.8163265306122449,0.3418803418803419
65,0.33125,0.4662576687116564,0.8367346938775511,0.3416666666666667
68,0.285,0.44785276073619634,0.8979591836734694,0.34108527131782945
23,0.47775,0.6134969325153374,0.30612244897959184,0.3409090909090909
48,0.38625,0.5214723926380368,0.6326530612244898,0.34065934065934067
53,0.3825,0.50920245398773,0.673469387755102,0.3402061855670103
69,0.275,0.44171779141104295,0.8979591836734694,0.3384615384615385
71,0.25875,0.4294478527607362,0.9387755102040817,0.3382352941176471
51,0.3836363636363636,0.50920245398773,0.6530612244897959,0.3368421052631579
9,0.54125,0.6625766871165644,0.12244897959183673,0.3333333333333333
11,0.5380407475490195,0.656441717791411,0.14285714285714285,0.3333333333333333
13,0.525,0.6503067484662577,0.16326530612244897,0.3333333333333333
15,0.504264705882353,0.6380368098159509,0.20408163265306123,0.3333333333333333
74,0.2477777777777778,0.4049079754601227,0.9591836734693877,0.33098591549295775
72,0.25625,0.4110429447852761,0.9387755102040817,0.33093525179856115
75,0.24375,0.3987730061349693,0.9591836734693877,0.32867132867132864
73,0.25375,0.4049079754601227,0.9387755102040817,0.32857142857142857
77,0.2375,0.38650306748466257,0.9795918367346939,0.32653061224489793
78,0.23625,0.3803680981595092,0.9795918367346939,0.32432432432432434
76,0.2425,0.38650306748466257,0.9591836734693877,0.32413793103448274
18,0.4975,0.6257668711656442,0.22448979591836735,0.3235294117647059
16,0.5025,0.6319018404907976,0.20408163265306123,0.3225806451612903
10,0.54,0.656441717791411,0.12244897959183673,0.3157894736842105
19,0.49625,0.6196319018404908,0.22448979591836735,0.3142857142857143
14,0.5175,0.6380368098159509,0.16326530612244897,0.3076923076923077
17,0.49786428407929834,0.6196319018404908,0.20408163265306123,0.30303030303030304
79,0.17,0.3067484662576687,1.0,0.30246913580246915
22,0.4816666666666667,0.6012269938650306,0.24489795918367346,0.3
20,0.48995738636363634,0.6012269938650306,0.22448979591836735,0.2894736842105263
21,0.48875,0.5950920245398773,0.22448979591836735,0.28205128205128205
1,0.72,0.6993865030674846,0.0,0.0
0,1.72,0.6993865030674846,0.0,0.0
