,thresholds,accuracy,recall,precision
2,0.7425823155885998,0.6171875,0.02,1.0
6,0.6053286130814507,0.625,0.1,0.625
10,0.5825048945267773,0.6328125,0.16,0.6153846153846154
8,0.590994799336541,0.625,0.12,0.6
11,0.572222447799247,0.6328125,0.18,0.6
9,0.5867860370218524,0.625,0.14,0.5833333333333334
5,0.6087270816905243,0.6171875,0.08,0.5714285714285714
7,0.600327504832568,0.6171875,0.1,0.5555555555555556
12,0.5594998698036172,0.6171875,0.2,0.5263157894736842
3,0.6951171975908751,0.609375,0.02,0.5
4,0.6465502335319748,0.609375,0.04,0.5
13,0.5592174279207501,0.609375,0.2,0.5
24,0.5051655888780958,0.6015625,0.36,0.4864864864864865
22,0.5077518791237878,0.6015625,0.34,0.4857142857142857
18,0.5231419413919413,0.6015625,0.28,0.4827586206896552
36,0.45908663027647234,0.59375,0.54,0.48214285714285715
34,0.4620923208121549,0.59375,0.52,0.48148148148148145
14,0.5488486496310462,0.6015625,0.22,0.4782608695652174
30,0.49103999719438,0.59375,0.42,0.4772727272727273
28,0.4953821580026037,0.59375,0.4,0.47619047619047616
26,0.5000509890403049,0.59375,0.38,0.475
37,0.4589379635117632,0.5859375,0.54,0.47368421052631576
25,0.5037746151020461,0.59375,0.36,0.47368421052631576
35,0.459574358513973,0.5859375,0.52,0.4727272727272727
23,0.5071024772622652,0.59375,0.34,0.4722222222222222
33,0.46297314464283496,0.5859375,0.5,0.4716981132075472
21,0.5108531898253041,0.59375,0.32,0.47058823529411764
20,0.5134121315192743,0.59375,0.3,0.46875
31,0.49039195212453046,0.5859375,0.42,0.4666666666666667
19,0.5230765306122448,0.59375,0.28,0.4666666666666667
29,0.4912715474272604,0.5859375,0.4,0.46511627906976744
17,0.5245431740858464,0.59375,0.26,0.4642857142857143
27,0.4991853215720589,0.5859375,0.38,0.4634146341463415
16,0.5249767484753527,0.59375,0.24,0.46153846153846156
15,0.5370507418035845,0.59375,0.22,0.4583333333333333
38,0.4514291750268401,0.5625,0.56,0.45161290322580644
32,0.47734202280188803,0.5703125,0.44,0.4489795918367347
39,0.44949457994579933,0.5546875,0.56,0.4444444444444444
56,0.3659919421464422,0.46875,0.86,0.41346153846153844
46,0.4176915627823846,0.5,0.66,0.4125
54,0.37359406191179234,0.46875,0.84,0.4117647058823529
44,0.4244733892707465,0.5,0.64,0.41025641025641024
57,0.3645675633889921,0.4609375,0.86,0.4095238095238095
40,0.4442125850340135,0.5078125,0.58,0.4084507042253521
55,0.3708040262709054,0.4609375,0.84,0.4077669902912621
47,0.4159914965986393,0.4921875,0.66,0.4074074074074074
53,0.3765361589576795,0.4609375,0.82,0.40594059405940597
59,0.3473981137909709,0.4453125,0.9,0.40540540540540543
45,0.4226199657435349,0.4921875,0.64,0.4050632911392405
58,0.3554416099773243,0.4453125,0.88,0.4036697247706422
60,0.33670885169580994,0.4375,0.92,0.40350877192982454
41,0.4428205817930742,0.5,0.58,0.4027777777777778
43,0.43078927025355596,0.4921875,0.62,0.4025974025974026
66,0.31504939258880144,0.421875,0.98,0.4016393442622951
61,0.3338004337152255,0.4296875,0.92,0.4
50,0.39574896928468367,0.4609375,0.76,0.4
42,0.43898061660561644,0.4921875,0.6,0.4
64,0.3206887755102042,0.421875,0.96,0.4
67,0.31251587301587297,0.4140625,0.98,0.3983739837398374
62,0.32706550430563586,0.421875,0.94,0.3983050847457627
52,0.38753833775990454,0.453125,0.78,0.3979591836734694
49,0.3975900723938684,0.4609375,0.74,0.3978494623655914
65,0.31851891633846535,0.4140625,0.96,0.39669421487603307
51,0.3946937903366475,0.453125,0.76,0.3958333333333333
63,0.32472115117977,0.4140625,0.94,0.3949579831932773
68,0.30825138180977585,0.3984375,1.0,0.3937007874015748
48,0.4053860238176475,0.4453125,0.68,0.38202247191011235
1,0.782072085433463,0.609375,0.0,0.0
0,1.7820720854334628,0.609375,0.0,0.0
