,thresholds,accuracy,recall,precision
6,0.5382341151735788,0.6509433962264151,0.11428571428571428,0.4
5,0.5462508809752031,0.6509433962264151,0.08571428571428572,0.375
7,0.5292241409384266,0.6415094339622641,0.11428571428571428,0.36363636363636365
17,0.4367711219698545,0.5754716981132075,0.34285714285714286,0.35294117647058826
34,0.29852358972051585,0.46226415094339623,0.7428571428571429,0.35135135135135137
38,0.2609043961670689,0.4339622641509434,0.8285714285714286,0.3493975903614458
40,0.2519671455646935,0.42452830188679247,0.8571428571428571,0.3488372093023256
31,0.32679724244009967,0.4811320754716981,0.6571428571428571,0.3484848484848485
23,0.39419611852595066,0.5377358490566038,0.45714285714285713,0.34782608695652173
33,0.3030501472927077,0.46226415094339623,0.7142857142857143,0.3472222222222222
35,0.29414442842354344,0.4528301886792453,0.7428571428571429,0.3466666666666667
39,0.2603304988662131,0.42452830188679247,0.8285714285714286,0.34523809523809523
41,0.2508885487528346,0.41509433962264153,0.8571428571428571,0.3448275862068966
30,0.3375958334281315,0.4811320754716981,0.6285714285714286,0.34375
32,0.3135111111111112,0.46226415094339623,0.6857142857142857,0.34285714285714286
37,0.26649157970792653,0.42452830188679247,0.8,0.34146341463414637
20,0.41160478554762564,0.5471698113207547,0.4,0.34146341463414637
22,0.3986409938128955,0.5377358490566038,0.42857142857142855,0.3409090909090909
24,0.3686468468308663,0.5188679245283019,0.4857142857142857,0.34
29,0.3408069912419626,0.4811320754716981,0.6,0.3387096774193548
36,0.2770588727052881,0.42452830188679247,0.7714285714285715,0.3375
25,0.3653399446952526,0.5094339622641509,0.4857142857142857,0.3333333333333333
28,0.3488785837120932,0.4811320754716981,0.5714285714285714,0.3333333333333333
46,0.1514274376417234,0.3490566037735849,0.9714285714285714,0.3333333333333333
27,0.350292444474202,0.49056603773584906,0.5428571428571428,0.3333333333333333
48,0.09877551020408162,0.33962264150943394,1.0,0.3333333333333333
21,0.4107659079931388,0.5377358490566038,0.4,0.3333333333333333
18,0.4239115646258505,0.5471698113207547,0.37142857142857144,0.3333333333333333
47,0.15084467120181405,0.33962264150943394,0.9714285714285714,0.3300970873786408
26,0.3567385505636194,0.49056603773584906,0.5142857142857142,0.32727272727272727
45,0.1539693877551021,0.33962264150943394,0.9428571428571428,0.32673267326732675
42,0.20301445564206216,0.3584905660377358,0.8857142857142857,0.3263157894736842
19,0.4122763353553882,0.5377358490566038,0.37142857142857144,0.325
44,0.1854050083801637,0.33962264150943394,0.9142857142857143,0.32323232323232326
43,0.19930701754385954,0.3490566037735849,0.8857142857142857,0.3229166666666667
16,0.44922220369665444,0.5660377358490566,0.2857142857142857,0.3225806451612903
14,0.45848360335125043,0.5754716981132075,0.2571428571428571,0.32142857142857145
15,0.45522027525511843,0.5660377358490566,0.2571428571428571,0.3103448275862069
13,0.4606613531461952,0.5660377358490566,0.22857142857142856,0.2962962962962963
10,0.48338553421714453,0.5849056603773585,0.17142857142857143,0.2857142857142857
12,0.46649916497658367,0.5660377358490566,0.2,0.28
8,0.49687131979743837,0.5943396226415094,0.14285714285714285,0.2777777777777778
11,0.47627478923468636,0.5754716981132075,0.17142857142857143,0.2727272727272727
9,0.49526149146307585,0.5849056603773585,0.14285714285714285,0.2631578947368421
4,0.5604326771597593,0.6415094339622641,0.02857142857142857,0.2
3,0.5783120247042985,0.6415094339622641,0.0,0.0
1,0.6035006413686836,0.6698113207547169,0.0,0.0
2,0.5941896832138175,0.6509433962264151,0.0,0.0
0,1.6035006413686836,0.6698113207547169,0.0,0.0
