,thresholds,accuracy,recall,precision
8,0.46681249999999996,0.55,0.42857142857142855,0.375
4,0.5158353174603174,0.6,0.14285714285714285,0.3333333333333333
6,0.4950416666666666,0.55,0.2857142857142857,0.3333333333333333
9,0.4613660714285714,0.5,0.42857142857142855,0.3333333333333333
14,0.283890873015873,0.35,0.8571428571428571,0.3333333333333333
15,0.2163492063492063,0.3,0.8571428571428571,0.3157894736842105
12,0.3361071428571428,0.35,0.7142857142857143,0.3125
10,0.43054166666666677,0.4,0.5714285714285714,0.3076923076923077
13,0.3322628968253967,0.3,0.7142857142857143,0.29411764705882354
7,0.4852331349206348,0.5,0.2857142857142857,0.2857142857142857
11,0.3982648809523809,0.35,0.5714285714285714,0.2857142857142857
5,0.5118422619047619,0.55,0.14285714285714285,0.25
0,1.6190982142857144,0.65,0.0,0.0
1,0.6190982142857144,0.65,0.0,0.0
2,0.5606924603174602,0.6,0.0,0.0
3,0.528922619047619,0.55,0.0,0.0
