,thresholds,accuracy,recall,precision
3,0.49265238095238106,0.6842105263157895,0.25,0.25
5,0.4283047619047621,0.5263157894736842,0.5,0.2222222222222222
9,0.2047214285714286,0.2631578947368421,1.0,0.2222222222222222
4,0.476252380952381,0.631578947368421,0.25,0.2
6,0.4280222222222223,0.47368421052631576,0.5,0.2
7,0.33708571428571427,0.3157894736842105,0.75,0.2
8,0.24653333333333327,0.2631578947368421,0.75,0.1875
0,1.7332301587301586,0.7894736842105263,0.0,0.0
1,0.7332301587301587,0.7894736842105263,0.0,0.0
2,0.528797619047619,0.7368421052631579,0.0,0.0
