,thresholds,accuracy,recall,precision
10,0.5390107709750567,0.7051282051282052,0.20833333333333334,0.5555555555555556
9,0.5393392857142858,0.6987179487179487,0.1875,0.5294117647058824
11,0.5324015409193978,0.6987179487179487,0.20833333333333334,0.5263157894736842
6,0.5641007395382394,0.6923076923076923,0.10416666666666667,0.5
8,0.557452003023432,0.6858974358974359,0.125,0.46153846153846156
12,0.5099529478458047,0.6794871794871795,0.22916666666666666,0.4583333333333333
7,0.5611473922902492,0.6858974358974359,0.10416666666666667,0.45454545454545453
16,0.49147732426303864,0.6730769230769231,0.2708333333333333,0.4482758620689655
14,0.49835997732426296,0.6730769230769231,0.25,0.4444444444444444
5,0.5803774913652499,0.6858974358974359,0.08333333333333333,0.4444444444444444
13,0.5078879521505572,0.6730769230769231,0.22916666666666666,0.44
17,0.4903906926406927,0.6666666666666666,0.2708333333333333,0.43333333333333335
15,0.49201473922902494,0.6666666666666666,0.25,0.42857142857142855
18,0.46110260770975053,0.6474358974358975,0.2916666666666667,0.4
19,0.45733137321181083,0.6410256410256411,0.2916666666666667,0.3888888888888889
20,0.4535849309420737,0.6346153846153846,0.3125,0.38461538461538464
21,0.45050113378684803,0.6282051282051282,0.3125,0.375
43,0.3683735827664397,0.5448717948717948,0.6666666666666666,0.367816091954023
36,0.38714739229024936,0.5705128205128205,0.5416666666666666,0.36619718309859156
46,0.3516111111111112,0.5256410256410257,0.7291666666666666,0.3645833333333333
48,0.33565929705215425,0.5192307692307693,0.75,0.36363636363636365
50,0.3313996598639455,0.5128205128205128,0.7708333333333334,0.3627450980392157
34,0.3888208616780047,0.5705128205128205,0.5208333333333334,0.36231884057971014
45,0.3527874149659865,0.5256410256410257,0.7083333333333334,0.3617021276595745
37,0.38558786848072546,0.5641025641025641,0.5416666666666666,0.3611111111111111
47,0.35151190476190475,0.5192307692307693,0.7291666666666666,0.36082474226804123
49,0.333971655328798,0.5128205128205128,0.75,0.36
51,0.3312481659330398,0.5064102564102564,0.7708333333333334,0.3592233009708738
44,0.35587811791383195,0.5256410256410257,0.6875,0.358695652173913
42,0.37303190209957143,0.5384615384615384,0.625,0.35714285714285715
35,0.38800226757369616,0.5641025641025641,0.5208333333333334,0.35714285714285715
22,0.4479075963718821,0.6089743589743589,0.3333333333333333,0.35555555555555557
40,0.37355952380952373,0.5384615384615384,0.6041666666666666,0.35365853658536583
33,0.391213718820862,0.5641025641025641,0.5,0.35294117647058826
25,0.4216349206349207,0.5897435897435898,0.3958333333333333,0.35185185185185186
28,0.40932709750566915,0.5769230769230769,0.4375,0.35
39,0.375607142857143,0.5384615384615384,0.5833333333333334,0.35
41,0.37338662131519273,0.532051282051282,0.6041666666666666,0.3493975903614458
30,0.4044886621315192,0.5705128205128205,0.4583333333333333,0.3492063492063492
32,0.39876473922902494,0.5641025641025641,0.4791666666666667,0.3484848484848485
23,0.44285386603018756,0.6025641025641025,0.3333333333333333,0.34782608695652173
38,0.3795351473922903,0.5384615384615384,0.5625,0.34615384615384615
52,0.31530215419501123,0.47435897435897434,0.7916666666666666,0.34545454545454546
26,0.41252293341579055,0.5769230769230769,0.4166666666666667,0.3448275862068966
29,0.4074926303854874,0.5705128205128205,0.4375,0.3442622950819672
31,0.4016025958168814,0.5641025641025641,0.4583333333333333,0.34375
53,0.3129909297052156,0.46794871794871795,0.7916666666666666,0.34234234234234234
27,0.41010130385487503,0.5705128205128205,0.4166666666666667,0.3389830508474576
24,0.4309416099773241,0.5833333333333334,0.3541666666666667,0.3333333333333333
56,0.26854931972789114,0.41025641025641024,0.8333333333333334,0.3225806451612903
57,0.26616326530612244,0.40384615384615385,0.8333333333333334,0.32
54,0.27924036281179143,0.41025641025641024,0.8125,0.319672131147541
55,0.2727613378684807,0.40384615384615385,0.8125,0.3170731707317073
60,0.24101540919398068,0.3717948717948718,0.875,0.31343283582089554
68,0.1976678004535148,0.3333333333333333,0.9791666666666666,0.31333333333333335
66,0.20573469387755106,0.33974358974358976,0.9583333333333334,0.3129251700680272
69,0.19646216099411593,0.3269230769230769,0.9791666666666666,0.31125827814569534
61,0.240578231292517,0.36538461538461536,0.875,0.3111111111111111
67,0.2042658730158731,0.3333333333333333,0.9583333333333334,0.3108108108108108
58,0.24785204081632645,0.3717948717948718,0.8541666666666666,0.3106060606060606
70,0.16310657596371886,0.3141025641025641,1.0,0.3096774193548387
59,0.24240476190476207,0.36538461538461536,0.8541666666666666,0.3082706766917293
65,0.20608730158730165,0.3333333333333333,0.9375,0.3082191780821918
64,0.22703401360544218,0.3333333333333333,0.9166666666666666,0.3055555555555556
62,0.2301921768707485,0.33974358974358976,0.8958333333333334,0.3049645390070922
63,0.22935941043083902,0.3333333333333333,0.8958333333333334,0.3028169014084507
4,0.5960853051365473,0.6730769230769231,0.020833333333333332,0.2
1,0.686220768017352,0.6923076923076923,0.0,0.0
3,0.6024091214656956,0.6666666666666666,0.0,0.0
2,0.6166848101949811,0.6730769230769231,0.0,0.0
0,1.686220768017352,0.6923076923076923,0.0,0.0
