,thresholds,accuracy,recall,precision
2,0.5772428042342652,0.7177914110429447,0.061224489795918366,1.0
48,0.33454385618981886,0.49079754601226994,0.7346938775510204,0.33962264150943394
52,0.30819811927951457,0.4723926380368098,0.7959183673469388,0.3391304347826087
47,0.33658136924803594,0.49079754601226994,0.7142857142857143,0.33653846153846156
51,0.31047530864197537,0.4723926380368098,0.7755102040816326,0.336283185840708
61,0.254661220043573,0.4294478527607362,0.9183673469387755,0.3358208955223881
64,0.2334265210999234,0.4171779141104294,0.9591836734693877,0.3357142857142857
65,0.2193055555555556,0.4110429447852761,0.9795918367346939,0.3356643356643357
33,0.38539323500819156,0.5460122699386503,0.5102040816326531,0.3333333333333333
29,0.39689772727272726,0.558282208588957,0.46938775510204084,0.3333333333333333
31,0.3910354938271605,0.5521472392638037,0.4897959183673469,0.3333333333333333
53,0.29994708994708996,0.4539877300613497,0.8163265306122449,0.3333333333333333
59,0.25666666666666665,0.4294478527607362,0.8979591836734694,0.3333333333333333
49,0.3166559150725818,0.4723926380368098,0.7551020408163265,0.3333333333333333
62,0.24622222222222218,0.4233128834355828,0.9183673469387755,0.3333333333333333
63,0.23842592592592593,0.4171779141104294,0.9387755102040817,0.3333333333333333
66,0.21927815570672715,0.4049079754601227,0.9795918367346939,0.3333333333333333
27,0.403888888888889,0.5644171779141104,0.4489795918367347,0.3333333333333333
60,0.2564090782511834,0.4233128834355828,0.8979591836734694,0.3308270676691729
54,0.294253590325019,0.44785276073619634,0.8163265306122449,0.3305785123966942
50,0.3146598497004917,0.4662576687116564,0.7551020408163265,0.33035714285714285
46,0.3369444444444445,0.48466257668711654,0.6938775510204082,0.3300970873786408
35,0.38053607094578806,0.5337423312883436,0.5306122448979592,0.3291139240506329
34,0.38425705467372145,0.5398773006134969,0.5102040816326531,0.32894736842105265
32,0.3891801738253612,0.5460122699386503,0.4897959183673469,0.3287671232876712
30,0.3925382219164469,0.5521472392638037,0.46938775510204084,0.32857142857142857
28,0.4025,0.558282208588957,0.4489795918367347,0.3283582089552239
58,0.2589350936905285,0.4233128834355828,0.8775510204081632,0.3282442748091603
57,0.26589506172839505,0.4233128834355828,0.8571428571428571,0.32558139534883723
36,0.3769107744107744,0.5276073619631901,0.5306122448979592,0.325
26,0.41103736691587994,0.558282208588957,0.42857142857142855,0.3230769230769231
55,0.2761111111111111,0.4233128834355828,0.8367346938775511,0.3228346456692913
21,0.43025191973108645,0.5766871165644172,0.3673469387755102,0.32142857142857145
56,0.27402196645946647,0.4171779141104294,0.8367346938775511,0.3203125
37,0.3640902498641604,0.50920245398773,0.5510204081632653,0.3176470588235294
25,0.4125621118012422,0.558282208588957,0.40816326530612246,0.31746031746031744
22,0.42914770553545745,0.5705521472392638,0.3673469387755102,0.3157894736842105
38,0.36096150613966704,0.5030674846625767,0.5510204081632653,0.313953488372093
45,0.343589968603694,0.4723926380368098,0.6326530612244898,0.31313131313131315
43,0.3490619967793881,0.4785276073619632,0.6122448979591837,0.3125
41,0.3524562608444187,0.48466257668711654,0.5918367346938775,0.3118279569892473
23,0.4161196662847824,0.558282208588957,0.3877551020408163,0.3114754098360656
39,0.3560185185185185,0.49079754601226994,0.5714285714285714,0.3111111111111111
44,0.34678883920039755,0.4723926380368098,0.6122448979591837,0.30927835051546393
20,0.4302955275177498,0.5705521472392638,0.3469387755102041,0.3090909090909091
42,0.3523958333333333,0.4785276073619632,0.5918367346938775,0.30851063829787234
40,0.3553337474051761,0.48466257668711654,0.5714285714285714,0.3076923076923077
3,0.5105279095684226,0.6687116564417178,0.08163265306122448,0.3076923076923077
24,0.41542433202779444,0.5521472392638037,0.3877551020408163,0.3064516129032258
67,0.12127777777777776,0.3067484662576687,1.0,0.30246913580246915
10,0.4843256280756281,0.6257668711656442,0.1836734693877551,0.3
19,0.4377777777777777,0.5644171779141104,0.30612244897959184,0.28846153846153844
11,0.46439153439153447,0.6073619631901841,0.20408163265306123,0.2857142857142857
4,0.5049074074074075,0.6625766871165644,0.08163265306122448,0.2857142857142857
9,0.48563266273165073,0.6257668711656442,0.16326530612244897,0.2857142857142857
6,0.4973742236024844,0.6441717791411042,0.12244897959183673,0.2857142857142857
15,0.44722222222222213,0.5828220858895705,0.24489795918367346,0.27906976744186046
12,0.46313756613756607,0.6012269938650306,0.20408163265306123,0.2777777777777778
18,0.4387401286531188,0.558282208588957,0.2857142857142857,0.27450980392156865
16,0.4466016406918081,0.5766871165644172,0.24489795918367346,0.2727272727272727
7,0.48819692460317454,0.6257668711656442,0.14285714285714285,0.2692307692307692
13,0.45026226445744005,0.5828220858895705,0.22448979591836735,0.2682926829268293
17,0.4393206495445586,0.558282208588957,0.2653061224489796,0.2653061224489796
5,0.4989104128109938,0.6441717791411042,0.10204081632653061,0.2631578947368421
14,0.44847225129367974,0.5766871165644172,0.22448979591836735,0.2619047619047619
8,0.48777472766884544,0.6196319018404908,0.14285714285714285,0.25925925925925924
1,0.6413963267505329,0.6993865030674846,0.0,0.0
0,1.641396326750533,0.6993865030674846,0.0,0.0
