,thresholds,accuracy,recall,precision
18,0.42277689604978674,0.625,0.35555555555555557,0.45714285714285713
19,0.42135388437217713,0.6171875,0.35555555555555557,0.4444444444444444
17,0.4230139089000009,0.6171875,0.3333333333333333,0.4411764705882353
22,0.40375491792158463,0.609375,0.4,0.43902439024390244
20,0.4082072742728353,0.609375,0.37777777777777777,0.4358974358974359
26,0.3897109808068958,0.59375,0.4666666666666667,0.42857142857142855
9,0.48429757343550445,0.6328125,0.13333333333333333,0.42857142857142855
23,0.4019281853545553,0.6015625,0.4,0.42857142857142855
25,0.3913846132197197,0.59375,0.4444444444444444,0.425531914893617
21,0.4038682805062115,0.6015625,0.37777777777777777,0.425
24,0.3966825303378391,0.59375,0.4222222222222222,0.4222222222222222
27,0.389567901234568,0.5859375,0.4666666666666667,0.42
8,0.5028014628634437,0.6328125,0.1111111111111111,0.4166666666666667
7,0.5100925925925927,0.6328125,0.08888888888888889,0.4
16,0.43803571428571436,0.6015625,0.26666666666666666,0.4
33,0.35541843884789237,0.5390625,0.5777777777777777,0.3939393939393939
28,0.37157407407407406,0.5546875,0.4888888888888889,0.39285714285714285
14,0.44562539908006615,0.6015625,0.24444444444444444,0.39285714285714285
32,0.3583741630868068,0.5390625,0.5555555555555556,0.390625
40,0.3154267310789049,0.5,0.7333333333333333,0.38823529411764707
31,0.3606796853641725,0.5390625,0.5333333333333333,0.3870967741935484
29,0.371220103452522,0.546875,0.4888888888888889,0.38596491228070173
13,0.45018518518518524,0.6015625,0.2222222222222222,0.38461538461538464
41,0.315103481582669,0.4921875,0.7333333333333333,0.38372093023255816
30,0.36183430000223255,0.5390625,0.5111111111111111,0.38333333333333336
39,0.32127928777883413,0.4921875,0.7111111111111111,0.38095238095238093
15,0.44133152173913043,0.59375,0.24444444444444444,0.3793103448275862
42,0.3115538752512893,0.4765625,0.7555555555555555,0.37777777777777777
44,0.30762583439376695,0.46875,0.7777777777777778,0.3763440860215054
49,0.2909751773049646,0.453125,0.8444444444444444,0.37623762376237624
12,0.45166476552795537,0.6015625,0.2,0.375
48,0.2960185185185186,0.453125,0.8222222222222222,0.37373737373737376
43,0.3113834250358844,0.46875,0.7555555555555555,0.37362637362637363
45,0.3070516602809706,0.4609375,0.7777777777777778,0.3723404255319149
54,0.25236737640222434,0.421875,0.9333333333333333,0.37168141592920356
46,0.29822685879282584,0.453125,0.8,0.3711340206185567
56,0.23537037037037037,0.4140625,0.9555555555555556,0.3706896551724138
38,0.32817171969570763,0.484375,0.6666666666666666,0.37037037037037035
34,0.34447300031123557,0.5,0.6,0.3698630136986301
55,0.24838707960834397,0.4140625,0.9333333333333333,0.3684210526315789
57,0.22978562630712826,0.40625,0.9555555555555556,0.36752136752136755
47,0.2963958176542708,0.4453125,0.8,0.3673469387755102
37,0.33252204103475475,0.484375,0.6444444444444445,0.3670886075949367
53,0.2531975308641975,0.4140625,0.9111111111111111,0.36607142857142855
35,0.3413548233659344,0.4921875,0.6,0.36486486486486486
50,0.27205236897176727,0.421875,0.8666666666666667,0.3644859813084112
52,0.2579190150807798,0.4140625,0.8888888888888888,0.36363636363636365
58,0.19829867389993966,0.390625,0.9777777777777777,0.36363636363636365
36,0.33966049382716046,0.484375,0.6222222222222222,0.36363636363636365
11,0.4542129629629629,0.6015625,0.17777777777777778,0.36363636363636365
51,0.2667510837763229,0.4140625,0.8666666666666667,0.3611111111111111
59,0.18828257672510543,0.3828125,0.9777777777777777,0.36065573770491804
60,0.13989197530864195,0.359375,1.0,0.3543307086614173
10,0.45644995207988776,0.6015625,0.15555555555555556,0.35
6,0.5249592290754787,0.625,0.044444444444444446,0.2857142857142857
4,0.5571478080214741,0.6328125,0.022222222222222223,0.25
5,0.5484316964105254,0.625,0.022222222222222223,0.2
1,0.6675480813079996,0.6484375,0.0,0.0
3,0.5812747521411437,0.6328125,0.0,0.0
2,0.6148350604852899,0.640625,0.0,0.0
0,1.6675480813079995,0.6484375,0.0,0.0
