,thresholds,accuracy,recall,precision
16,0.49333333333333335,0.7185185185185186,0.3055555555555556,0.4583333333333333
15,0.5087500000000001,0.7185185185185186,0.2777777777777778,0.45454545454545453
8,0.5466666666666667,0.725925925925926,0.1388888888888889,0.45454545454545453
21,0.47375000000000006,0.7111111111111111,0.3888888888888889,0.45161290322580644
13,0.5154166666666667,0.7185185185185186,0.25,0.45
19,0.47958333333333336,0.7111111111111111,0.3611111111111111,0.4482758620689655
12,0.51875,0.7185185185185186,0.2222222222222222,0.4444444444444444
17,0.48083333333333317,0.7111111111111111,0.3333333333333333,0.4444444444444444
11,0.5299999999999999,0.7185185185185186,0.19444444444444445,0.4375
22,0.4704166666666667,0.7037037037037037,0.3888888888888889,0.4375
20,0.4774999999999999,0.7037037037037037,0.3611111111111111,0.43333333333333335
9,0.5325,0.7185185185185186,0.16666666666666666,0.42857142857142855
14,0.5095833333333333,0.7111111111111111,0.25,0.42857142857142855
18,0.4800000000000001,0.7037037037037037,0.3333333333333333,0.42857142857142855
10,0.5308333333333334,0.7111111111111111,0.16666666666666666,0.4
25,0.44416666666666665,0.674074074074074,0.4444444444444444,0.4
27,0.4333333333333334,0.6666666666666666,0.4722222222222222,0.3953488372093023
23,0.4541666666666667,0.674074074074074,0.4166666666666667,0.39473684210526316
26,0.43708333333333327,0.6666666666666666,0.4444444444444444,0.3902439024390244
28,0.4279166666666667,0.6592592592592592,0.4722222222222222,0.38636363636363635
24,0.4508333333333333,0.6666666666666666,0.4166666666666667,0.38461538461538464
7,0.5737500000000001,0.7185185185185186,0.08333333333333333,0.375
34,0.4025,0.6222222222222222,0.5833333333333334,0.3684210526315789
31,0.40625,0.6296296296296297,0.5277777777777778,0.36538461538461536
32,0.4054166666666667,0.6222222222222222,0.5555555555555556,0.36363636363636365
35,0.3991666666666667,0.6148148148148148,0.5833333333333334,0.3620689655172414
29,0.41000000000000014,0.6296296296296297,0.5,0.36
33,0.40375000000000005,0.6148148148148148,0.5555555555555556,0.35714285714285715
30,0.4079166666666667,0.6222222222222222,0.5,0.35294117647058826
36,0.39208333333333345,0.5925925925925926,0.6111111111111112,0.3492063492063492
42,0.37333333333333335,0.562962962962963,0.7222222222222222,0.3466666666666667
37,0.3904166666666667,0.5851851851851851,0.6111111111111112,0.34375
38,0.38666666666666677,0.5777777777777777,0.6388888888888888,0.34328358208955223
43,0.36958333333333343,0.5555555555555556,0.7222222222222222,0.34210526315789475
39,0.3858333333333333,0.5703703703703704,0.6388888888888888,0.3382352941176471
41,0.37583333333333335,0.5555555555555556,0.6944444444444444,0.33783783783783783
5,0.59,0.7185185185185186,0.05555555555555555,0.3333333333333333
40,0.3812499999999999,0.5555555555555556,0.6666666666666666,0.3333333333333333
46,0.345,0.5111111111111111,0.7777777777777778,0.32558139534883723
47,0.33916666666666656,0.5037037037037037,0.7777777777777778,0.3218390804597701
44,0.3504166666666667,0.5111111111111111,0.75,0.32142857142857145
45,0.3479166666666667,0.5037037037037037,0.75,0.3176470588235294
50,0.33166666666666655,0.4740740740740741,0.8333333333333334,0.3157894736842105
48,0.33291666666666664,0.48148148148148145,0.8055555555555556,0.31521739130434784
51,0.33041666666666664,0.4666666666666667,0.8333333333333334,0.3125
49,0.3320833333333333,0.4740740740740741,0.8055555555555556,0.3118279569892473
52,0.32,0.45185185185185184,0.8611111111111112,0.31
53,0.31791666666666674,0.4444444444444444,0.8611111111111112,0.3069306930693069
54,0.3054166666666666,0.3925925925925926,0.8888888888888888,0.2909090909090909
55,0.30416666666666675,0.3851851851851852,0.8888888888888888,0.2882882882882883
60,0.26625,0.34814814814814815,0.9722222222222222,0.28688524590163933
6,0.5787500000000001,0.7111111111111111,0.05555555555555555,0.2857142857142857
61,0.2654166666666667,0.34074074074074073,0.9722222222222222,0.2845528455284553
56,0.285,0.362962962962963,0.9166666666666666,0.28448275862068967
58,0.27624999999999994,0.34814814814814815,0.9444444444444444,0.2833333333333333
57,0.28375000000000006,0.35555555555555557,0.9166666666666666,0.28205128205128205
59,0.27208333333333334,0.34074074074074073,0.9444444444444444,0.2809917355371901
62,0.2045833333333333,0.2740740740740741,1.0,0.26865671641791045
4,0.6004166666666667,0.7185185185185186,0.027777777777777776,0.25
1,0.68125,0.7333333333333333,0.0,0.0
3,0.6095833333333335,0.7111111111111111,0.0,0.0
2,0.6116666666666667,0.7185185185185186,0.0,0.0
0,1.68125,0.7333333333333333,0.0,0.0
