,thresholds,accuracy,recall,precision
2,0.6185182172999535,0.640625,0.08,1.0
3,0.5715068907245933,0.640625,0.1,0.8333333333333334
4,0.5660308441558441,0.640625,0.12,0.75
8,0.5292292207792209,0.65625,0.2,0.7142857142857143
5,0.5388065145343163,0.640625,0.14,0.7
7,0.535,0.640625,0.16,0.6666666666666666
6,0.5378176008568056,0.6328125,0.14,0.6363636363636364
9,0.5188459765777127,0.640625,0.22,0.6111111111111112
10,0.5147029286704672,0.6328125,0.22,0.5789473684210527
13,0.5045031185031186,0.640625,0.3,0.5769230769230769
12,0.5070296118202902,0.6328125,0.28,0.56
14,0.49160452201226684,0.6328125,0.3,0.5555555555555556
21,0.46730667188127006,0.640625,0.44,0.55
23,0.46487179487179486,0.640625,0.46,0.5476190476190477
11,0.5098148148148148,0.625,0.24,0.5454545454545454
20,0.46791666666666665,0.6328125,0.42,0.5384615384615384
22,0.46583008658008657,0.6328125,0.44,0.5365853658536586
24,0.4642851459537822,0.6328125,0.46,0.5348837209302325
15,0.48095686112133484,0.625,0.32,0.5333333333333333
16,0.48046315889591035,0.6171875,0.32,0.5161290322580645
17,0.47945851023976016,0.6171875,0.34,0.5151515151515151
19,0.47477697660525253,0.6171875,0.36,0.5142857142857142
18,0.47510198552162053,0.609375,0.34,0.5
29,0.4370224318790523,0.5625,0.54,0.45
28,0.4424431818181819,0.5625,0.52,0.4482758620689655
27,0.4446557493540052,0.5625,0.5,0.44642857142857145
25,0.44484375,0.5625,0.48,0.4444444444444444
30,0.435646264367816,0.5546875,0.54,0.4426229508196721
26,0.44480645246639805,0.5546875,0.48,0.43636363636363634
31,0.43004231035848683,0.5390625,0.56,0.4307692307692308
37,0.4142083333333334,0.53125,0.62,0.4305555555555556
35,0.417050028358539,0.53125,0.6,0.42857142857142855
33,0.4251627622377622,0.53125,0.58,0.4264705882352941
38,0.41413086913086916,0.5234375,0.62,0.4246575342465753
32,0.4281931818181819,0.53125,0.56,0.42424242424242425
36,0.41484098992336366,0.5234375,0.6,0.4225352112676056
39,0.4097346184651231,0.515625,0.64,0.42105263157894735
34,0.42083640741201606,0.5234375,0.58,0.42028985507246375
40,0.4075,0.5078125,0.64,0.4155844155844156
60,0.3019350851499728,0.4140625,0.98,0.3983739837398374
55,0.3375,0.4296875,0.9,0.39823008849557523
54,0.3416791089345437,0.4296875,0.88,0.3963963963963964
50,0.35844764323652406,0.4453125,0.8,0.39603960396039606
56,0.32693742426437666,0.421875,0.9,0.39473684210526316
53,0.345333161093477,0.4296875,0.86,0.3944954128440367
61,0.275,0.3984375,1.0,0.3937007874015748
59,0.3077931993251846,0.40625,0.94,0.39166666666666666
43,0.38267383177570097,0.4609375,0.68,0.39080459770114945
57,0.3135302661466829,0.40625,0.92,0.3898305084745763
45,0.3814231462585035,0.453125,0.7,0.3888888888888889
52,0.34586856970294927,0.421875,0.84,0.3888888888888889
41,0.38620967741935486,0.4609375,0.66,0.38823529411764707
47,0.3768186704506364,0.4453125,0.72,0.3870967741935484
51,0.34828333333333333,0.421875,0.82,0.3867924528301887
58,0.31083333333333335,0.3984375,0.92,0.3865546218487395
44,0.38222701189939096,0.453125,0.68,0.38636363636363635
46,0.3814032435404068,0.4453125,0.7,0.38461538461538464
42,0.38573102139406484,0.453125,0.66,0.38372093023255816
48,0.375,0.4375,0.72,0.3829787234042553
49,0.37186320898533304,0.421875,0.72,0.375
1,0.689609142369727,0.609375,0.0,0.0
0,1.689609142369727,0.609375,0.0,0.0
