,thresholds,accuracy,recall,precision
2,0.5940277777777777,0.6698113207547169,0.02857142857142857,0.5
29,0.3323611111111111,0.5283018867924528,0.6285714285714286,0.3728813559322034
28,0.3384722222222223,0.5283018867924528,0.6,0.3684210526315789
30,0.33166666666666644,0.5188679245283019,0.6285714285714286,0.36666666666666664
36,0.2931944444444444,0.4528301886792453,0.7714285714285715,0.35064935064935066
31,0.31480555555555556,0.4716981132075472,0.6571428571428571,0.34328358208955223
27,0.3572222222222223,0.5094339622641509,0.5142857142857142,0.33962264150943394
32,0.31180555555555556,0.46226415094339623,0.6571428571428571,0.3382352941176471
33,0.30347222222222225,0.4528301886792453,0.6857142857142857,0.3380281690140845
35,0.3009722222222223,0.44339622641509435,0.7142857142857143,0.33783783783783783
5,0.5063888888888889,0.6415094339622641,0.08571428571428572,0.3333333333333333
26,0.3625000000000001,0.5094339622641509,0.4857142857142857,0.3333333333333333
3,0.5394444444444446,0.6509433962264151,0.05714285714285714,0.3333333333333333
34,0.3025000000000001,0.44339622641509435,0.6857142857142857,0.3333333333333333
43,0.18222222222222217,0.3490566037735849,0.9142857142857143,0.32653061224489793
25,0.3672222222222221,0.5094339622641509,0.45714285714285713,0.32653061224489793
42,0.19555555555555554,0.3584905660377358,0.8857142857142857,0.3263157894736842
22,0.3819444444444443,0.5283018867924528,0.4,0.32558139534883723
46,0.13111111111111112,0.32075471698113206,0.9714285714285714,0.3238095238095238
44,0.18124999999999997,0.33962264150943394,0.9142857142857143,0.32323232323232326
41,0.20791666666666664,0.3584905660377358,0.8571428571428571,0.3225806451612903
37,0.26444444444444437,0.37735849056603776,0.8,0.3218390804597701
45,0.1623611111111111,0.32075471698113206,0.9428571428571428,0.32038834951456313
23,0.37111111111111117,0.5094339622641509,0.42857142857142855,0.3191489361702128
39,0.23791666666666675,0.3584905660377358,0.8285714285714286,0.31868131868131866
38,0.25749999999999995,0.36792452830188677,0.8,0.3181818181818182
21,0.38375,0.5283018867924528,0.37142857142857144,0.3170731707317073
40,0.21930555555555556,0.3490566037735849,0.8285714285714286,0.31521739130434784
24,0.36861111111111106,0.5,0.42857142857142855,0.3125
9,0.47583333333333333,0.6132075471698113,0.14285714285714285,0.3125
20,0.3840277777777777,0.5188679245283019,0.34285714285714286,0.3
6,0.4912499999999999,0.6320754716981132,0.08571428571428572,0.3
10,0.46638888888888896,0.6037735849056604,0.14285714285714285,0.29411764705882354
19,0.3916666666666667,0.5188679245283019,0.3142857142857143,0.2894736842105263
18,0.3973611111111111,0.5283018867924528,0.2857142857142857,0.2857142857142857
4,0.5175,0.6415094339622641,0.05714285714285714,0.2857142857142857
7,0.4795833333333334,0.6132075471698113,0.11428571428571428,0.2857142857142857
11,0.4619444444444445,0.5849056603773585,0.17142857142857143,0.2857142857142857
12,0.4606944444444443,0.5754716981132075,0.17142857142857143,0.2727272727272727
17,0.4106944444444446,0.5283018867924528,0.2571428571428571,0.2727272727272727
8,0.4781944444444445,0.6037735849056604,0.11428571428571428,0.26666666666666666
15,0.4225000000000001,0.5283018867924528,0.22857142857142856,0.25806451612903225
13,0.4377777777777778,0.5377358490566038,0.2,0.25
16,0.4193055555555556,0.5188679245283019,0.22857142857142856,0.25
14,0.43361111111111117,0.5283018867924528,0.2,0.2413793103448276
1,0.6295833333333332,0.6698113207547169,0.0,0.0
0,1.6295833333333332,0.6698113207547169,0.0,0.0
