,thresholds,accuracy,recall,precision
9,0.1279761904761905,0.3,0.8571428571428571,0.3157894736842105
8,0.2640476190476191,0.3,0.7142857142857143,0.29411764705882354
6,0.3052380952380952,0.35,0.5714285714285714,0.2857142857142857
5,0.41333333333333333,0.4,0.42857142857142855,0.2727272727272727
7,0.3036904761904761,0.3,0.5714285714285714,0.26666666666666666
4,0.416547619047619,0.4,0.2857142857142857,0.2222222222222222
3,0.4252380952380952,0.35,0.14285714285714285,0.125
0,1.5626190476190476,0.65,0.0,0.0
1,0.5626190476190477,0.65,0.0,0.0
2,0.4329761904761906,0.35,0.0,0.0
