,thresholds,accuracy,recall,precision
8,0.5480952380952381,0.6923076923076923,0.125,0.5
22,0.4825000000000001,0.6923076923076923,0.3541666666666667,0.5
21,0.49535714285714294,0.6923076923076923,0.3333333333333333,0.5
25,0.46428571428571436,0.6858974358974359,0.3958333333333333,0.48717948717948717
24,0.46869047619047627,0.6858974358974359,0.375,0.4864864864864865
23,0.4817857142857144,0.6858974358974359,0.3541666666666667,0.4857142857142857
18,0.515952380952381,0.6858974358974359,0.25,0.48
16,0.5233333333333335,0.6858974358974359,0.22916666666666666,0.4782608695652174
10,0.5413095238095239,0.6858974358974359,0.14583333333333334,0.4666666666666667
20,0.5032142857142857,0.6794871794871795,0.2708333333333333,0.4642857142857143
9,0.5457142857142859,0.6858974358974359,0.125,0.46153846153846156
19,0.5103571428571431,0.6794871794871795,0.25,0.46153846153846156
17,0.5222619047619047,0.6794871794871795,0.22916666666666666,0.4583333333333333
7,0.557738095238095,0.6858974358974359,0.10416666666666667,0.45454545454545453
15,0.524047619047619,0.6794871794871795,0.20833333333333334,0.45454545454545453
14,0.5241666666666668,0.6794871794871795,0.1875,0.45
12,0.5288095238095238,0.6794871794871795,0.16666666666666666,0.4444444444444444
11,0.5295238095238095,0.6794871794871795,0.14583333333333334,0.4375
13,0.5286904761904763,0.6730769230769231,0.16666666666666666,0.42105263157894735
5,0.5960714285714286,0.6858974358974359,0.041666666666666664,0.4
6,0.5742063492063493,0.6794871794871795,0.0625,0.375
54,0.30642857142857144,0.44871794871794873,0.7916666666666666,0.3333333333333333
46,0.34976190476190483,0.48717948717948717,0.6666666666666666,0.3333333333333333
53,0.31202380952380954,0.4551282051282051,0.7708333333333334,0.3333333333333333
4,0.6186904761904761,0.6858974358974359,0.020833333333333332,0.3333333333333333
55,0.3035714285714286,0.4423076923076923,0.7916666666666666,0.33043478260869563
52,0.3163095238095239,0.4551282051282051,0.75,0.3302752293577982
50,0.3239285714285715,0.46153846153846156,0.7291666666666666,0.330188679245283
47,0.3483333333333334,0.4807692307692308,0.6666666666666666,0.32989690721649484
44,0.3530952380952381,0.48717948717948717,0.6458333333333334,0.32978723404255317
42,0.3579761904761904,0.4935897435897436,0.625,0.32967032967032966
51,0.3184523809523809,0.4551282051282051,0.7291666666666666,0.32710280373831774
49,0.32726190476190475,0.46153846153846156,0.7083333333333334,0.3269230769230769
45,0.3516666666666667,0.4807692307692308,0.6458333333333334,0.3263157894736842
43,0.3560714285714286,0.48717948717948717,0.625,0.32608695652173914
38,0.37440476190476185,0.5064102564102564,0.5625,0.3253012048192771
36,0.37901587301587314,0.5128205128205128,0.5416666666666666,0.325
48,0.3351190476190475,0.46153846153846156,0.6875,0.3235294117647059
41,0.3633333333333333,0.48717948717948717,0.6041666666666666,0.32222222222222224
39,0.3741666666666666,0.5,0.5625,0.32142857142857145
37,0.378452380952381,0.5064102564102564,0.5416666666666666,0.32098765432098764
34,0.38392857142857134,0.5128205128205128,0.5208333333333334,0.32051282051282054
40,0.3676190476190475,0.48717948717948717,0.5833333333333334,0.3181818181818182
35,0.38107142857142856,0.5064102564102564,0.5208333333333334,0.31645569620253167
32,0.3889285714285714,0.5128205128205128,0.5,0.3157894736842105
33,0.38690476190476186,0.5064102564102564,0.5,0.3116883116883117
68,0.19607142857142856,0.3269230769230769,0.9791666666666666,0.31125827814569534
30,0.39357142857142857,0.5128205128205128,0.4791666666666667,0.3108108108108108
29,0.39464285714285713,0.5192307692307693,0.4583333333333333,0.30985915492957744
70,0.18964285714285714,0.3141025641025641,1.0,0.3096774193548387
56,0.263452380952381,0.38461538461538464,0.8125,0.30952380952380953
69,0.1957142857142857,0.32051282051282054,0.9791666666666666,0.3092105263157895
67,0.20107142857142857,0.3269230769230769,0.9583333333333334,0.3087248322147651
26,0.41607142857142876,0.532051282051282,0.4166666666666667,0.3076923076923077
57,0.2609523809523809,0.3782051282051282,0.8125,0.30708661417322836
31,0.39285714285714285,0.5064102564102564,0.4791666666666667,0.30666666666666664
66,0.21035714285714285,0.3269230769230769,0.9375,0.30612244897959184
28,0.399404761904762,0.5192307692307693,0.4375,0.30434782608695654
60,0.24059523809523803,0.3525641025641026,0.8541666666666666,0.3037037037037037
65,0.21416666666666662,0.3269230769230769,0.9166666666666666,0.30344827586206896
58,0.2430952380952381,0.358974358974359,0.8333333333333334,0.30303030303030304
27,0.41440476190476194,0.5256410256410257,0.4166666666666667,0.30303030303030304
61,0.2326190476190476,0.34615384615384615,0.8541666666666666,0.3014705882352941
59,0.2428571428571429,0.3525641025641026,0.8333333333333334,0.3007518796992481
64,0.2188095238095238,0.3269230769230769,0.8958333333333334,0.3006993006993007
62,0.22297619047619052,0.3333333333333333,0.875,0.3
63,0.22249999999999995,0.3269230769230769,0.875,0.2978723404255319
2,0.6481825396825397,0.6858974358974359,0.0,0.0
1,0.6569047619047618,0.6923076923076923,0.0,0.0
3,0.6255952380952381,0.6794871794871795,0.0,0.0
0,1.6569047619047619,0.6923076923076923,0.0,0.0
