,thresholds,accuracy,recall,precision
6,0.5107142857142857,0.65625,0.1111111111111111,0.5555555555555556
20,0.41886054421768715,0.6484375,0.4222222222222222,0.5
5,0.5493681318681319,0.6484375,0.08888888888888889,0.5
7,0.5091666666666667,0.6484375,0.1111111111111111,0.5
21,0.41785301263362473,0.640625,0.4222222222222222,0.48717948717948717
19,0.42369047619047623,0.640625,0.4,0.4864864864864865
24,0.4097619047619047,0.6328125,0.4666666666666667,0.4772727272727273
22,0.4129761904761906,0.6328125,0.4444444444444444,0.47619047619047616
25,0.40943634596695827,0.625,0.4666666666666667,0.4666666666666667
23,0.4126219490133868,0.625,0.4444444444444444,0.46511627906976744
26,0.40619047619047627,0.6171875,0.4888888888888889,0.4583333333333333
18,0.42595238095238097,0.625,0.3333333333333333,0.45454545454545453
17,0.428452380952381,0.625,0.3111111111111111,0.45161290322580644
27,0.4059523809523809,0.609375,0.4888888888888889,0.4489795918367347
16,0.43585272988505747,0.625,0.28888888888888886,0.4482758620689655
32,0.37797619047619047,0.5859375,0.5555555555555556,0.43103448275862066
30,0.38958173690932313,0.5859375,0.5333333333333333,0.42857142857142855
8,0.4720238095238096,0.6328125,0.13333333333333333,0.42857142857142855
15,0.43654761904761935,0.6171875,0.26666666666666666,0.42857142857142855
28,0.3925891924167784,0.5859375,0.5111111111111111,0.42592592592592593
33,0.37500000000000006,0.578125,0.5555555555555556,0.423728813559322
35,0.35466223698781835,0.5703125,0.6,0.421875
31,0.3791666666666667,0.578125,0.5333333333333333,0.42105263157894735
34,0.36464285714285716,0.5703125,0.5777777777777777,0.41935483870967744
29,0.39022727272727276,0.578125,0.5111111111111111,0.41818181818181815
36,0.3472619047619049,0.5546875,0.6222222222222222,0.4117647058823529
10,0.46845238095238084,0.625,0.15555555555555556,0.4117647058823529
37,0.3440476190476191,0.546875,0.6222222222222222,0.4057971014492754
12,0.4653396562386711,0.6171875,0.17777777777777778,0.4
9,0.46928571428571414,0.625,0.13333333333333333,0.4
41,0.3226190476190476,0.515625,0.7111111111111111,0.3950617283950617
48,0.30142857142857143,0.484375,0.8222222222222222,0.3894736842105263
11,0.4678571428571427,0.6171875,0.15555555555555556,0.3888888888888889
50,0.2951190476190476,0.4765625,0.8444444444444444,0.3877551020408163
44,0.31522727272727274,0.4921875,0.7555555555555555,0.38636363636363635
49,0.298095238095238,0.4765625,0.8222222222222222,0.3854166666666667
40,0.33119047619047615,0.5078125,0.6666666666666666,0.38461538461538464
51,0.29467432950191574,0.46875,0.8444444444444444,0.3838383838383838
42,0.31797619047619036,0.4921875,0.7333333333333333,0.38372093023255816
47,0.3023809523809523,0.4765625,0.8,0.3829787234042553
45,0.3147619047619048,0.484375,0.7555555555555555,0.38202247191011235
38,0.33321428571428563,0.5078125,0.6444444444444445,0.3815789473684211
13,0.4648809523809524,0.609375,0.17777777777777778,0.38095238095238093
46,0.3049999999999998,0.4765625,0.7777777777777778,0.3804347826086957
43,0.3166666666666667,0.484375,0.7333333333333333,0.3793103448275862
52,0.2839285714285714,0.453125,0.8666666666666667,0.3786407766990291
39,0.33130952380952383,0.5,0.6444444444444445,0.37662337662337664
53,0.28261904761904766,0.4453125,0.8666666666666667,0.375
14,0.4479761904761905,0.6015625,0.2,0.375
56,0.24404761904761899,0.40625,0.9333333333333333,0.3652173913043478
57,0.24369047619047624,0.3984375,0.9333333333333333,0.3620689655172414
58,0.2277380952380952,0.390625,0.9555555555555556,0.36134453781512604
60,0.20059523809523805,0.3828125,0.9777777777777777,0.36065573770491804
55,0.2451190476190476,0.3984375,0.9111111111111111,0.35964912280701755
59,0.2195238095238095,0.3828125,0.9555555555555556,0.35833333333333334
61,0.2002380952380953,0.375,0.9777777777777777,0.35772357723577236
54,0.2520238095238095,0.3984375,0.8888888888888888,0.35714285714285715
62,0.1438095238095238,0.359375,1.0,0.3543307086614173
4,0.6067857142857144,0.6328125,0.022222222222222223,0.25
1,0.6856949806949807,0.6484375,0.0,0.0
3,0.6354761904761904,0.6328125,0.0,0.0
2,0.6781588203463202,0.640625,0.0,0.0
0,1.6856949806949806,0.6484375,0.0,0.0
