,thresholds,accuracy,recall,precision
6,0.5995492112626606,0.6987179487179487,0.125,0.5454545454545454
13,0.5413421218627322,0.6987179487179487,0.25,0.5217391304347826
5,0.603056448379377,0.6923076923076923,0.10416666666666667,0.5
7,0.5920634195582242,0.6923076923076923,0.125,0.5
17,0.5029523716122534,0.6858974358974359,0.3333333333333333,0.48484848484848486
16,0.5075842700749587,0.6858974358974359,0.3125,0.4838709677419355
12,0.5624944275920613,0.6858974358974359,0.1875,0.47368421052631576
18,0.4914708003480089,0.6794871794871795,0.3541666666666667,0.4722222222222222
10,0.5707920337694057,0.6858974358974359,0.16666666666666666,0.47058823529411764
15,0.5284839049286258,0.6794871794871795,0.2916666666666667,0.4666666666666667
8,0.5803329436642226,0.6858974358974359,0.14583333333333334,0.4666666666666667
14,0.5326078417576493,0.6794871794871795,0.2708333333333333,0.4642857142857143
20,0.4881581805147825,0.6730769230769231,0.375,0.46153846153846156
19,0.4904649726080949,0.6730769230769231,0.3541666666666667,0.4594594594594595
22,0.4826489722135075,0.6666666666666666,0.3958333333333333,0.4523809523809524
21,0.4834130005552978,0.6666666666666666,0.375,0.45
11,0.5677980568977403,0.6794871794871795,0.16666666666666666,0.4444444444444444
23,0.4798014107497332,0.6602564102564102,0.3958333333333333,0.4418604651162791
9,0.576516120168744,0.6794871794871795,0.14583333333333334,0.4375
24,0.4710869988405433,0.6538461538461539,0.4166666666666667,0.43478260869565216
25,0.4675245078109317,0.6474358974358975,0.4166666666666667,0.425531914893617
26,0.44791082217515427,0.6217948717948718,0.4375,0.39622641509433965
27,0.44785463659147856,0.6153846153846154,0.4375,0.3888888888888889
32,0.4116170579507727,0.5705128205128205,0.5208333333333334,0.36231884057971014
31,0.4123826613671918,0.5705128205128205,0.5,0.3582089552238806
33,0.4081746031746031,0.5641025641025641,0.5208333333333334,0.35714285714285715
28,0.42869047619047634,0.5769230769230769,0.4583333333333333,0.3548387096774194
30,0.41500311003339974,0.5705128205128205,0.4791666666666667,0.35384615384615387
34,0.4037037037037036,0.5512820512820513,0.5416666666666666,0.35135135135135137
52,0.3364285714285714,0.5,0.7291666666666666,0.35
29,0.4252330194135886,0.5705128205128205,0.4583333333333333,0.3492063492063492
48,0.3416666666666667,0.5064102564102564,0.6875,0.3473684210526316
50,0.33940699428822035,0.5,0.7083333333333334,0.3469387755102041
35,0.39928927910781753,0.5448717948717948,0.5416666666666666,0.3466666666666667
53,0.3353111963873868,0.4935897435897436,0.7291666666666666,0.3465346534653465
54,0.3257142857142856,0.48717948717948717,0.75,0.34615384615384615
56,0.31300855474708,0.4807692307692308,0.7708333333333334,0.34579439252336447
46,0.34493701634587065,0.5064102564102564,0.6666666666666666,0.34408602150537637
49,0.33976190476190476,0.5,0.6875,0.34375
51,0.33746938775510205,0.4935897435897436,0.7083333333333334,0.3434343434343434
55,0.32559475218658895,0.4807692307692308,0.75,0.34285714285714286
57,0.30567491444072487,0.47435897435897434,0.7708333333333334,0.3425925925925926
38,0.3822114605811046,0.5256410256410257,0.5833333333333334,0.34146341463414637
40,0.3731420946939162,0.5192307692307693,0.6041666666666666,0.3411764705882353
44,0.3527222222222222,0.5064102564102564,0.6458333333333334,0.34065934065934067
47,0.34415969771527005,0.5,0.6666666666666666,0.3404255319148936
36,0.39116498942798444,0.5256410256410257,0.5625,0.3375
39,0.3738095238095238,0.5192307692307693,0.5833333333333334,0.3373493975903614
41,0.36796509411537043,0.5128205128205128,0.6041666666666666,0.3372093023255814
42,0.35566239316239323,0.5064102564102564,0.625,0.33707865168539325
45,0.3523809523809525,0.5,0.6458333333333334,0.33695652173913043
43,0.3530357142857142,0.5,0.625,0.3333333333333333
4,0.6266819600273966,0.6794871794871795,0.041666666666666664,0.3333333333333333
37,0.38393784150308313,0.5192307692307693,0.5625,0.3333333333333333
60,0.27859523809523806,0.4166666666666667,0.8125,0.32231404958677684
61,0.2762337662337662,0.41025641025641024,0.8125,0.319672131147541
58,0.28333333333333344,0.4166666666666667,0.7916666666666666,0.31932773109243695
68,0.22782559657570894,0.3717948717948718,0.9166666666666666,0.3188405797101449
59,0.2793558564501766,0.41025641025641024,0.7916666666666666,0.31666666666666665
69,0.22568578104549322,0.36538461538461536,0.9166666666666666,0.31654676258992803
67,0.24459687377431402,0.3717948717948718,0.8958333333333334,0.3161764705882353
70,0.20547619047619048,0.3525641025641026,0.9375,0.3146853146853147
66,0.25349649177113964,0.3717948717948718,0.875,0.31343283582089554
64,0.25769607843137254,0.3782051282051282,0.8541666666666666,0.31297709923664124
62,0.2649404761904762,0.38461538461538464,0.8333333333333334,0.3125
71,0.20451213559559825,0.34615384615384615,0.9375,0.3125
72,0.19916666666666666,0.3333333333333333,0.9583333333333334,0.3108108108108108
65,0.2573649377749224,0.3717948717948718,0.8541666666666666,0.3106060606060606
63,0.2617820154529016,0.3782051282051282,0.8333333333333334,0.31007751937984496
73,0.19821428571428576,0.3269230769230769,0.9583333333333334,0.3087248322147651
74,0.1770238095238095,0.3076923076923077,0.9791666666666666,0.3051948051948052
75,0.1696904761904762,0.30128205128205127,0.9791666666666666,0.3032258064516129
3,0.6390765526773771,0.6794871794871795,0.020833333333333332,0.25
1,0.728783670259865,0.6923076923076923,0.0,0.0
2,0.6516648454884953,0.6794871794871795,0.0,0.0
0,1.728783670259865,0.6923076923076923,0.0,0.0
