,thresholds,accuracy,recall,precision
2,0.6626666666666667,0.7055214723926381,0.02040816326530612,1.0
5,0.5841666666666665,0.6932515337423313,0.061224489795918366,0.42857142857142855
3,0.5891666666666666,0.6932515337423313,0.04081632653061224,0.4
6,0.5775238095238096,0.6871165644171779,0.061224489795918366,0.375
47,0.35983333333333334,0.5214723926380368,0.7551020408163265,0.3592233009708738
48,0.35538095238095235,0.5153374233128835,0.7755102040816326,0.3584905660377358
53,0.32933333333333337,0.49693251533742333,0.8367346938775511,0.3565217391304348
49,0.3548333333333333,0.50920245398773,0.7755102040816326,0.35514018691588783
43,0.37113333333333337,0.5337423312883436,0.673469387755102,0.3548387096774194
56,0.30883333333333335,0.4785276073619632,0.8979591836734694,0.3548387096774194
52,0.33666666666666667,0.49693251533742333,0.8163265306122449,0.35398230088495575
57,0.3078030303030303,0.4723926380368098,0.8979591836734694,0.352
58,0.2995,0.4662576687116564,0.9183673469387755,0.3515625
50,0.3430000000000001,0.49693251533742333,0.7959183673469388,0.35135135135135137
44,0.371,0.5276073619631901,0.673469387755102,0.35106382978723405
55,0.31016666666666676,0.4723926380368098,0.8775510204081632,0.34959349593495936
59,0.2984999999999999,0.4601226993865031,0.9183673469387755,0.3488372093023256
51,0.3410416666666666,0.49079754601226994,0.7959183673469388,0.3482142857142857
42,0.3733333333333333,0.5276073619631901,0.6530612244897959,0.34782608695652173
54,0.3135,0.4723926380368098,0.8571428571428571,0.34710743801652894
45,0.37024590163934423,0.5153374233128835,0.673469387755102,0.34375
46,0.36423333333333335,0.50920245398773,0.6938775510204082,0.3434343434343434
38,0.3953333333333333,0.5398773006134969,0.5714285714285714,0.34146341463414637
39,0.38968,0.5337423312883436,0.5918367346938775,0.3411764705882353
33,0.42359361639392606,0.558282208588957,0.4897959183673469,0.3380281690140845
36,0.4043333333333334,0.5460122699386503,0.5306122448979592,0.33766233766233766
37,0.3986666666666666,0.5398773006134969,0.5510204081632653,0.3375
40,0.3896666666666666,0.5276073619631901,0.5918367346938775,0.3372093023255814
41,0.38133333333333336,0.5214723926380368,0.6122448979591837,0.33707865168539325
61,0.27133333333333337,0.4171779141104294,0.9591836734693877,0.3357142857142857
60,0.2736666666666666,0.4171779141104294,0.9387755102040817,0.3333333333333333
16,0.4939615384615384,0.6380368098159509,0.20408163265306123,0.3333333333333333
4,0.5885,0.6871165644171779,0.04081632653061224,0.3333333333333333
31,0.42550000000000004,0.558282208588957,0.46938775510204084,0.3333333333333333
11,0.5301666666666668,0.6625766871165644,0.12244897959183673,0.3333333333333333
34,0.4234999999999998,0.5521472392638037,0.4897959183673469,0.3333333333333333
35,0.41170000000000007,0.5460122699386503,0.5102040816326531,0.3333333333333333
32,0.4246666666666667,0.5521472392638037,0.46938775510204084,0.32857142857142857
30,0.4295,0.5521472392638037,0.4489795918367347,0.3235294117647059
62,0.2185,0.37423312883435583,0.9795918367346939,0.3221476510067114
63,0.21416666666666664,0.36809815950920244,0.9795918367346939,0.32
13,0.5156666666666667,0.6503067484662577,0.14285714285714285,0.3181818181818182
29,0.433,0.5521472392638037,0.42857142857142855,0.3181818181818182
12,0.5227532825917254,0.656441717791411,0.12244897959183673,0.3157894736842105
9,0.5319999999999998,0.6625766871165644,0.10204081632653061,0.3125
28,0.4358333333333333,0.5521472392638037,0.40816326530612246,0.3125
7,0.5483333333333332,0.6687116564417178,0.08163265306122448,0.3076923076923077
27,0.43962090163934425,0.5521472392638037,0.3877551020408163,0.3064516129032258
21,0.473,0.588957055214724,0.2857142857142857,0.30434782608695654
14,0.5128333333333334,0.6441717791411042,0.14285714285714285,0.30434782608695654
64,0.15383333333333338,0.3067484662576687,1.0,0.30246913580246915
26,0.4425000000000001,0.5521472392638037,0.3673469387755102,0.3
18,0.4828333333333334,0.6012269938650306,0.24489795918367346,0.3
22,0.47250000000000003,0.5828220858895705,0.2857142857142857,0.2978723404255319
15,0.4975,0.6319018404907976,0.16326530612244897,0.2962962962962963
19,0.47616666666666657,0.588957055214724,0.2653061224489796,0.29545454545454547
23,0.46399999999999997,0.5705521472392638,0.30612244897959184,0.29411764705882354
10,0.5312435897435898,0.656441717791411,0.10204081632653061,0.29411764705882354
17,0.48504166666666676,0.6012269938650306,0.22448979591836735,0.2894736842105263
20,0.4756363636363636,0.5828220858895705,0.2653061224489796,0.28888888888888886
24,0.4636744730679157,0.5644171779141104,0.30612244897959184,0.28846153846153844
8,0.546008658008658,0.6625766871165644,0.08163265306122448,0.2857142857142857
25,0.44465399610136447,0.5460122699386503,0.32653061224489793,0.2807017543859649
1,0.6633529411764705,0.6993865030674846,0.0,0.0
0,1.6633529411764705,0.6993865030674846,0.0,0.0
