,thresholds,accuracy,recall,precision
28,0.35642857142857143,0.5703125,0.6,0.421875
5,0.5321428571428573,0.6328125,0.1111111111111111,0.4166666666666667
29,0.35571428571428576,0.5625,0.6,0.4153846153846154
27,0.3597619047619047,0.5625,0.5777777777777777,0.4126984126984127
35,0.3382142857142857,0.5390625,0.7111111111111111,0.41025641025641024
26,0.3659523809523809,0.5625,0.5555555555555556,0.4098360655737705
34,0.3398809523809524,0.5390625,0.6888888888888889,0.40789473684210525
36,0.3325000000000001,0.53125,0.7333333333333333,0.4074074074074074
11,0.4308333333333333,0.609375,0.24444444444444444,0.4074074074074074
37,0.331904761904762,0.5234375,0.7333333333333333,0.4024390243902439
25,0.36630952380952375,0.5546875,0.5333333333333333,0.4
33,0.3407142857142857,0.53125,0.6666666666666666,0.4
30,0.3497619047619047,0.5390625,0.6222222222222222,0.4
42,0.3128571428571428,0.5,0.8222222222222222,0.3978494623655914
39,0.32321428571428573,0.5078125,0.7777777777777778,0.3977272727272727
32,0.34238095238095234,0.53125,0.6444444444444445,0.3972602739726027
40,0.3151190476190476,0.5,0.8,0.3956043956043956
38,0.3265476190476191,0.5078125,0.7555555555555555,0.3953488372093023
31,0.3441666666666667,0.53125,0.6222222222222222,0.39436619718309857
43,0.3030952380952381,0.4921875,0.8222222222222222,0.39361702127659576
20,0.39869047619047615,0.5703125,0.4,0.391304347826087
41,0.31285714285714283,0.4921875,0.8,0.391304347826087
22,0.39535714285714285,0.5625,0.4222222222222222,0.3877551020408163
19,0.40059523809523806,0.5703125,0.37777777777777777,0.38636363636363635
45,0.29273809523809524,0.46875,0.8666666666666667,0.38613861386138615
44,0.29511904761904767,0.46875,0.8444444444444444,0.3838383838383838
21,0.398452380952381,0.5625,0.4,0.3829787234042553
18,0.4025000000000001,0.5703125,0.35555555555555557,0.38095238095238093
23,0.38750000000000007,0.5546875,0.4222222222222222,0.38
16,0.40428571428571414,0.5703125,0.3333333333333333,0.375
10,0.4451190476190476,0.6015625,0.2,0.375
46,0.268452380952381,0.4375,0.8888888888888888,0.37383177570093457
13,0.41047619047619055,0.578125,0.28888888888888886,0.37142857142857144
47,0.2540476190476191,0.4296875,0.8888888888888888,0.37037037037037035
14,0.40845238095238096,0.5703125,0.3111111111111111,0.3684210526315789
17,0.4040476190476191,0.5625,0.3333333333333333,0.36585365853658536
9,0.45214285714285707,0.6015625,0.17777777777777778,0.36363636363636365
24,0.37559523809523815,0.53125,0.4444444444444444,0.36363636363636365
12,0.41602380952380963,0.578125,0.26666666666666666,0.36363636363636365
15,0.4078571428571429,0.5625,0.3111111111111111,0.358974358974359
51,0.19404761904761905,0.375,0.9777777777777777,0.35772357723577236
52,0.15047619047619046,0.359375,1.0,0.3543307086614173
48,0.22369047619047616,0.375,0.9111111111111111,0.3504273504273504
8,0.45702380952380955,0.6015625,0.15555555555555556,0.35
50,0.21214285714285713,0.3671875,0.9333333333333333,0.35
49,0.21452380952380956,0.3671875,0.9111111111111111,0.3474576271186441
6,0.46940476190476194,0.6015625,0.13333333333333333,0.3333333333333333
4,0.5661904761904761,0.625,0.06666666666666667,0.3333333333333333
7,0.4571428571428571,0.59375,0.13333333333333333,0.3157894736842105
3,0.5714285714285713,0.6171875,0.044444444444444446,0.25
1,0.6998809523809523,0.6484375,0.0,0.0
2,0.5769047619047618,0.609375,0.0,0.0
0,1.6998809523809522,0.6484375,0.0,0.0
