,thresholds,accuracy,recall,precision
29,0.4688230769230768,0.6666666666666666,0.6388888888888888,0.41818181818181815
28,0.47519745547073794,0.6592592592592592,0.5833333333333334,0.40384615384615385
26,0.4760142857142858,0.6592592592592592,0.5555555555555556,0.4
27,0.4752579407182856,0.6518518518518519,0.5555555555555556,0.39215686274509803
25,0.4767007681001374,0.6518518518518519,0.5277777777777778,0.3877551020408163
7,0.61224183908046,0.7185185185185186,0.08333333333333333,0.375
30,0.4386333333333334,0.6148148148148148,0.6666666666666666,0.375
19,0.5117000000000002,0.6666666666666666,0.3611111111111111,0.37142857142857144
31,0.43773333333333336,0.6074074074074074,0.6666666666666666,0.36923076923076925
32,0.4297714285714286,0.5851851851851851,0.6944444444444444,0.35714285714285715
24,0.48441666666666655,0.6370370370370371,0.4444444444444444,0.35555555555555557
36,0.4239757575757576,0.5703703703703704,0.75,0.35526315789473684
33,0.42905,0.5777777777777777,0.6944444444444444,0.352112676056338
34,0.4274307888040712,0.5703703703703704,0.7222222222222222,0.35135135135135137
37,0.42364242424242426,0.562962962962963,0.75,0.35064935064935066
20,0.49066190476190474,0.6444444444444445,0.3888888888888889,0.35
22,0.48562380952380957,0.6370370370370371,0.4166666666666667,0.3488372093023256
35,0.4270857142857142,0.562962962962963,0.7222222222222222,0.3466666666666667
18,0.5323833333333335,0.6592592592592592,0.3055555555555556,0.34375
21,0.48892476190476186,0.6370370370370371,0.3888888888888889,0.34146341463414637
23,0.48493333333333327,0.6296296296296297,0.4166666666666667,0.3409090909090909
16,0.5371626728620422,0.6592592592592592,0.2777777777777778,0.3333333333333333
6,0.61695,0.7185185185185186,0.05555555555555555,0.3333333333333333
12,0.5545833333333332,0.6814814814814815,0.19444444444444445,0.3333333333333333
17,0.5364333333333333,0.6518518518518519,0.2777777777777778,0.3225806451612903
15,0.5427904761904762,0.6592592592592592,0.25,0.32142857142857145
13,0.5524,0.674074074074074,0.19444444444444445,0.3181818181818182
14,0.5434218390804598,0.6592592592592592,0.2222222222222222,0.3076923076923077
38,0.4038333333333334,0.45925925925925926,0.7777777777777778,0.3010752688172043
11,0.5586619047619047,0.674074074074074,0.16666666666666666,0.3
41,0.38026666666666664,0.43703703703703706,0.8333333333333334,0.3
39,0.40276666666666666,0.45185185185185184,0.7777777777777778,0.2978723404255319
40,0.3887333333333335,0.43703703703703706,0.8055555555555556,0.29591836734693877
43,0.35839855072463767,0.37777777777777777,0.8888888888888888,0.2857142857142857
42,0.35948205128205135,0.37777777777777777,0.8611111111111112,0.2818181818181818
46,0.3328803921568627,0.34074074074074073,0.9444444444444444,0.2809917355371901
47,0.3320047619047621,0.3333333333333333,0.9444444444444444,0.2786885245901639
10,0.5756308954203693,0.674074074074074,0.1388888888888889,0.2777777777777778
44,0.34749523809523813,0.34074074074074073,0.9166666666666666,0.2773109243697479
45,0.3385820512820512,0.3333333333333333,0.9166666666666666,0.275
50,0.23036666666666666,0.2740740740740741,1.0,0.26865671641791045
48,0.27896666666666664,0.2814814814814815,0.9722222222222222,0.26717557251908397
49,0.273379365079365,0.2740740740740741,0.9722222222222222,0.26515151515151514
8,0.5806888888888889,0.674074074074074,0.1111111111111111,0.25
4,0.6271113908107602,0.7185185185185186,0.027777777777777776,0.25
9,0.5771666666666667,0.6666666666666666,0.1111111111111111,0.23529411764705882
5,0.6199222222222223,0.7111111111111111,0.027777777777777776,0.2
1,0.6538039410158443,0.7333333333333333,0.0,0.0
3,0.6466307888040712,0.7185185185185186,0.0,0.0
2,0.646796169772257,0.725925925925926,0.0,0.0
0,1.6538039410158443,0.7333333333333333,0.0,0.0
