,thresholds,accuracy,recall,precision
6,0.5962901224824924,0.6484375,0.2,0.6666666666666666
5,0.6036074598482138,0.640625,0.18,0.6428571428571429
7,0.5927461522763428,0.640625,0.2,0.625
8,0.5832978398693447,0.640625,0.22,0.6111111111111112
4,0.6272402773982023,0.625,0.12,0.6
9,0.5769032478034513,0.6328125,0.22,0.5789473684210527
3,0.6376527949611117,0.6171875,0.1,0.5555555555555556
10,0.5676261263129465,0.625,0.24,0.5454545454545454
12,0.5596488651987183,0.625,0.26,0.5416666666666666
13,0.542966297180383,0.625,0.28,0.5384615384615384
14,0.5374459678857268,0.625,0.3,0.5357142857142857
15,0.5363888888888889,0.625,0.32,0.5333333333333333
17,0.5196764469027217,0.625,0.38,0.5277777777777778
18,0.5081308589546196,0.625,0.4,0.5263157894736842
20,0.507451340935978,0.625,0.42,0.525
22,0.5047694960849018,0.625,0.44,0.5238095238095238
11,0.5625549903870245,0.6171875,0.24,0.5217391304347826
16,0.5270248203978802,0.6171875,0.34,0.5151515151515151
19,0.5079361070737287,0.6171875,0.4,0.5128205128205128
21,0.5061493239271017,0.6171875,0.42,0.5121951219512195
23,0.5001799145489758,0.6171875,0.44,0.5116279069767442
24,0.4830109012857547,0.59375,0.46,0.4791666666666667
38,0.4296094968589783,0.5859375,0.66,0.4782608695652174
36,0.43181849599316596,0.5859375,0.64,0.47761194029850745
34,0.43730408964420603,0.5859375,0.62,0.47692307692307695
39,0.4273921650189832,0.578125,0.66,0.4714285714285714
37,0.43159136860270286,0.578125,0.64,0.47058823529411764
35,0.43462273456391104,0.578125,0.62,0.4696969696969697
25,0.4788746707153013,0.5859375,0.46,0.46938775510204084
33,0.43788656800882675,0.578125,0.6,0.46875
29,0.46347222222222223,0.578125,0.52,0.4642857142857143
28,0.4690606333115118,0.578125,0.5,0.46296296296296297
26,0.4728194599066223,0.578125,0.48,0.46153846153846156
40,0.4117893766034347,0.5625,0.68,0.4594594594594595
32,0.4461614774114774,0.5703125,0.56,0.45901639344262296
30,0.45071060644610916,0.5703125,0.54,0.4576271186440678
41,0.4098290998972985,0.5546875,0.68,0.4533333333333333
27,0.4705438515809226,0.5703125,0.48,0.4528301886792453
31,0.44888377071856395,0.5625,0.54,0.45
42,0.3975557179987004,0.546875,0.7,0.44871794871794873
43,0.3975329932910579,0.5390625,0.7,0.4430379746835443
48,0.3844444444444444,0.53125,0.76,0.4418604651162791
46,0.3865884761953099,0.53125,0.74,0.44047619047619047
44,0.38916380977575293,0.53125,0.72,0.43902439024390244
49,0.3792752178649238,0.5234375,0.76,0.4367816091954023
47,0.3846277651415448,0.5234375,0.74,0.43529411764705883
45,0.3872575232691512,0.5234375,0.72,0.43373493975903615
50,0.3743960282295969,0.515625,0.78,0.43333333333333335
55,0.3576239117148554,0.5,0.86,0.43
51,0.37129364492050637,0.5078125,0.78,0.42857142857142855
54,0.35811321719216455,0.5,0.84,0.42857142857142855
57,0.34063507951604366,0.4921875,0.9,0.42857142857142855
56,0.3482967932614162,0.4921875,0.88,0.42718446601941745
53,0.3606491071798605,0.4921875,0.82,0.422680412371134
52,0.36411829631052467,0.4921875,0.8,0.42105263157894735
58,0.30981837606837603,0.4453125,0.92,0.40707964601769914
59,0.3081481481481481,0.4375,0.92,0.40350877192982454
63,0.27310440982522133,0.421875,0.98,0.4016393442622951
62,0.28033752086693264,0.421875,0.96,0.4
60,0.28425150519978104,0.421875,0.94,0.3983050847457627
61,0.28338024932709305,0.4140625,0.94,0.3949579831932773
64,0.225037037037037,0.3984375,1.0,0.3937007874015748
2,0.6710059695410856,0.59375,0.02,0.25
1,0.8181188395025522,0.609375,0.0,0.0
0,1.818118839502552,0.609375,0.0,0.0
