,thresholds,accuracy,recall,precision
5,0.5638015424484888,0.660377358490566,0.05714285714285714,0.4
21,0.3904269506945956,0.5660377358490566,0.5142857142857142,0.3829787234042553
22,0.383875387655062,0.5566037735849056,0.5142857142857142,0.375
20,0.39050438596491227,0.5566037735849056,0.4857142857142857,0.3695652173913043
27,0.33029160184078216,0.5094339622641509,0.6285714285714286,0.36065573770491804
29,0.32480603206317493,0.5,0.6571428571428571,0.359375
33,0.3176924542554978,0.4811320754716981,0.7142857142857143,0.35714285714285715
26,0.3457823129251701,0.5094339622641509,0.6,0.3559322033898305
28,0.3299206349206349,0.5,0.6285714285714286,0.3548387096774194
30,0.3241269841269841,0.49056603773584906,0.6571428571428571,0.35384615384615387
31,0.32280284896071454,0.4811320754716981,0.6857142857142857,0.35294117647058826
34,0.3160355127191217,0.4716981132075472,0.7142857142857143,0.352112676056338
23,0.3684394970109256,0.5188679245283019,0.5428571428571428,0.35185185185185186
25,0.3557142857142857,0.5094339622641509,0.5714285714285714,0.3508771929824561
19,0.3932168920204996,0.5471698113207547,0.42857142857142855,0.3488372093023256
32,0.3190828173374613,0.4716981132075472,0.6857142857142857,0.34782608695652173
24,0.36441498936344296,0.5094339622641509,0.5428571428571428,0.34545454545454546
18,0.39950866446421474,0.5471698113207547,0.4,0.34146341463414637
39,0.26562818920210224,0.41509433962264153,0.8,0.3373493975903614
50,0.15574285714285716,0.3584905660377358,0.9714285714285714,0.33663366336633666
35,0.2950638528752015,0.42452830188679247,0.7428571428571429,0.3333333333333333
37,0.2756501145912911,0.41509433962264153,0.7714285714285715,0.3333333333333333
40,0.2613871635610766,0.4056603773584906,0.8,0.3333333333333333
49,0.1778095238095238,0.3584905660377358,0.9428571428571428,0.3333333333333333
51,0.13575757575757577,0.33962264150943394,1.0,0.3333333333333333
17,0.4006492837818696,0.5471698113207547,0.37142857142857144,0.3333333333333333
6,0.5464126283348346,0.6509433962264151,0.05714285714285714,0.3333333333333333
3,0.5844386724386724,0.660377358490566,0.02857142857142857,0.3333333333333333
47,0.18571428571428572,0.3584905660377358,0.9142857142857143,0.32989690721649484
43,0.22698412698412698,0.37735849056603776,0.8571428571428571,0.32967032967032966
38,0.27285714285714285,0.4056603773584906,0.7714285714285715,0.32926829268292684
36,0.2926258154901305,0.41509433962264153,0.7428571428571429,0.3291139240506329
48,0.1827858126721763,0.3490566037735849,0.9142857142857143,0.32653061224489793
45,0.19402707685090506,0.3584905660377358,0.8857142857142857,0.3263157894736842
44,0.22142857142857142,0.36792452830188677,0.8571428571428571,0.32608695652173914
41,0.2357142857142857,0.37735849056603776,0.8285714285714286,0.3258426966292135
46,0.18857142857142858,0.3490566037735849,0.8857142857142857,0.3229166666666667
42,0.23285714285714285,0.36792452830188677,0.8285714285714286,0.32222222222222224
16,0.4031198229690602,0.5377358490566038,0.34285714285714286,0.3157894736842105
15,0.41816638916638915,0.5377358490566038,0.3142857142857143,0.3055555555555556
10,0.4632466463716463,0.5849056603773585,0.2,0.30434782608695654
11,0.4507513489565716,0.5660377358490566,0.22857142857142856,0.2962962962962963
14,0.4292299761735504,0.5377358490566038,0.2857142857142857,0.29411764705882354
12,0.44986813186813185,0.5566037735849056,0.22857142857142856,0.2857142857142857
13,0.4350068916370376,0.5377358490566038,0.2571428571428571,0.28125
4,0.5709550411651121,0.6509433962264151,0.02857142857142857,0.25
7,0.5033906313593814,0.6132075471698113,0.08571428571428572,0.25
8,0.5027391954086934,0.6037735849056604,0.08571428571428572,0.23076923076923078
9,0.4799014778325123,0.5660377358490566,0.11428571428571428,0.21052631578947367
1,0.5972169318506914,0.6698113207547169,0.0,0.0
2,0.5968937745898242,0.660377358490566,0.0,0.0
0,1.5972169318506912,0.6698113207547169,0.0,0.0
