,thresholds,accuracy,recall,precision
8,0.3855968253968253,0.55,0.5714285714285714,0.4
6,0.41997142857142855,0.55,0.42857142857142855,0.375
9,0.3720039682539682,0.5,0.5714285714285714,0.36363636363636365
7,0.3956523809523809,0.5,0.42857142857142855,0.3333333333333333
12,0.23768650793650792,0.35,0.8571428571428571,0.3333333333333333
13,0.1637793650793651,0.3,0.8571428571428571,0.3157894736842105
10,0.2555722222222223,0.35,0.7142857142857143,0.3125
11,0.2504206349206349,0.3,0.7142857142857143,0.29411764705882354
5,0.4297007936507938,0.5,0.2857142857142857,0.2857142857142857
4,0.45535634920634926,0.5,0.14285714285714285,0.2
0,1.5803230158730157,0.65,0.0,0.0
1,0.5803230158730157,0.65,0.0,0.0
2,0.49307698412698414,0.55,0.0,0.0
3,0.4882698412698416,0.5,0.0,0.0
