,thresholds,accuracy,recall,precision
9,0.5459904761904762,0.6987179487179487,0.125,0.5454545454545454
8,0.5463238095238095,0.6923076923076923,0.10416666666666667,0.5
10,0.5403142857142857,0.6923076923076923,0.125,0.5
18,0.4837714285714288,0.6794871794871795,0.2708333333333333,0.4642857142857143
17,0.49033333333333345,0.6794871794871795,0.25,0.46153846153846156
16,0.49319523809523796,0.6794871794871795,0.22916666666666666,0.4583333333333333
19,0.4768809523809525,0.6730769230769231,0.2916666666666667,0.45161290322580644
21,0.46216666666666656,0.6666666666666666,0.3125,0.4411764705882353
11,0.5292142857142854,0.6794871794871795,0.14583333333333334,0.4375
20,0.4744142857142858,0.6666666666666666,0.2916666666666667,0.4375
24,0.44717619047619045,0.6602564102564102,0.3541666666666667,0.4358974358974359
23,0.45249047619047633,0.6602564102564102,0.3333333333333333,0.43243243243243246
22,0.45851904761904755,0.6602564102564102,0.3125,0.42857142857142855
7,0.5625,0.6858974358974359,0.0625,0.42857142857142855
15,0.5051809523809525,0.6730769230769231,0.1875,0.42857142857142855
13,0.5219142857142857,0.6730769230769231,0.16666666666666666,0.42105263157894735
12,0.5279190476190476,0.6730769230769231,0.14583333333333334,0.4117647058823529
5,0.5680142857142857,0.6858974358974359,0.041666666666666664,0.4
14,0.5055333333333337,0.6666666666666666,0.16666666666666666,0.4
27,0.4281857142857141,0.6217948717948718,0.4166666666666667,0.39215686274509803
26,0.4292714285714284,0.6217948717948718,0.3958333333333333,0.3877551020408163
28,0.4277666666666667,0.6153846153846154,0.4166666666666667,0.38461538461538464
25,0.4330666666666668,0.6217948717948718,0.375,0.3829787234042553
39,0.38456666666666633,0.5769230769230769,0.5833333333333334,0.3783783783783784
38,0.38970952380952384,0.5769230769230769,0.5625,0.375
40,0.38362380952380953,0.5705128205128205,0.5833333333333334,0.37333333333333335
37,0.39325238095238085,0.5769230769230769,0.5416666666666666,0.37142857142857144
36,0.3962428571428572,0.5769230769230769,0.5208333333333334,0.36764705882352944
33,0.40573809523809534,0.5833333333333334,0.4791666666666667,0.36507936507936506
35,0.39852380952380967,0.5769230769230769,0.5,0.36363636363636365
41,0.3751380952380954,0.5512820512820513,0.6041666666666666,0.3625
31,0.4087761904761901,0.5833333333333334,0.4583333333333333,0.36065573770491804
34,0.4011190476190477,0.5769230769230769,0.4791666666666667,0.359375
42,0.37424761904761933,0.5448717948717948,0.6041666666666666,0.35802469135802467
29,0.41267619047619053,0.5833333333333334,0.4375,0.3559322033898305
32,0.40630952380952384,0.5769230769230769,0.4583333333333333,0.3548387096774194
30,0.41016190476190484,0.5769230769230769,0.4375,0.35
46,0.3349523809523809,0.4935897435897436,0.6875,0.3402061855670103
49,0.3186714285714285,0.47435897435897434,0.75,0.33962264150943394
51,0.30981428571428565,0.46794871794871795,0.7708333333333334,0.3394495412844037
44,0.35938571428571414,0.5,0.6458333333333334,0.33695652173913043
45,0.3444000000000001,0.4935897435897436,0.6666666666666666,0.3368421052631579
50,0.31696190476190467,0.46794871794871795,0.75,0.3364485981308411
52,0.30529047619047617,0.46153846153846156,0.7708333333333334,0.33636363636363636
48,0.3210952380952381,0.46794871794871795,0.7291666666666666,0.3333333333333333
43,0.3616190476190474,0.5,0.625,0.3333333333333333
3,0.5923761904761902,0.6858974358974359,0.020833333333333332,0.3333333333333333
6,0.562847619047619,0.6794871794871795,0.041666666666666664,0.3333333333333333
53,0.30090952380952374,0.4423076923076923,0.7916666666666666,0.33043478260869563
47,0.3266761904761907,0.46794871794871795,0.7083333333333334,0.3300970873786408
54,0.29802857142857153,0.4358974358974359,0.7916666666666666,0.3275862068965517
55,0.28398571428571445,0.40384615384615385,0.8125,0.3170731707317073
56,0.2836619047619047,0.3974358974358974,0.8125,0.31451612903225806
58,0.25359047619047625,0.3717948717948718,0.875,0.31343283582089554
67,0.18162380952380955,0.3141025641025641,1.0,0.3096774193548387
63,0.2119428571428573,0.3269230769230769,0.9375,0.30612244897959184
57,0.2610666666666669,0.36538461538461536,0.8333333333333334,0.3053435114503817
66,0.18441904761904765,0.3076923076923077,0.9791666666666666,0.3051948051948052
64,0.20641428571428583,0.32051282051282054,0.9375,0.30405405405405406
61,0.22158571428571425,0.3269230769230769,0.9166666666666666,0.30344827586206896
65,0.19085714285714295,0.3076923076923077,0.9583333333333334,0.3026315789473684
62,0.2201190476190477,0.32051282051282054,0.9166666666666666,0.3013698630136986
59,0.22511904761904755,0.3269230769230769,0.8958333333333334,0.3006993006993007
60,0.2222857142857142,0.32051282051282054,0.8958333333333334,0.2986111111111111
4,0.5705666666666667,0.6794871794871795,0.020833333333333332,0.25
1,0.6618190476190476,0.6923076923076923,0.0,0.0
2,0.614904761904762,0.6858974358974359,0.0,0.0
0,1.6618190476190478,0.6923076923076923,0.0,0.0
