,thresholds,accuracy,recall,precision
27,0.38310666003992266,0.609375,0.4222222222222222,0.4418604651162791
24,0.3939856459330144,0.609375,0.35555555555555557,0.43243243243243246
18,0.429491838884287,0.6171875,0.26666666666666666,0.42857142857142855
30,0.376240043856064,0.59375,0.4666666666666667,0.42857142857142855
12,0.47323184458968764,0.625,0.2,0.42857142857142855
28,0.37962869769119767,0.59375,0.4444444444444444,0.425531914893617
26,0.3880112990368805,0.6015625,0.37777777777777777,0.425
16,0.45055736161116106,0.6171875,0.24444444444444444,0.4230769230769231
10,0.47992610837438426,0.625,0.17777777777777778,0.42105263157894735
25,0.3935728236399225,0.6015625,0.35555555555555557,0.42105263157894735
31,0.3754212843699848,0.5859375,0.4666666666666667,0.42
20,0.4196825396825397,0.609375,0.28888888888888886,0.41935483870967744
23,0.39644444444444443,0.6015625,0.3333333333333333,0.4166666666666667
29,0.3779225839968035,0.5859375,0.4444444444444444,0.4166666666666667
14,0.459904397538983,0.6171875,0.2222222222222222,0.4166666666666667
19,0.42549396701418085,0.609375,0.26666666666666666,0.41379310344827586
22,0.4008740870599023,0.6015625,0.3111111111111111,0.4117647058823529
13,0.4677156178265115,0.6171875,0.2,0.4090909090909091
17,0.4380766842461558,0.609375,0.24444444444444444,0.4074074074074074
32,0.37054703938037276,0.5703125,0.4888888888888889,0.4074074074074074
21,0.4138226711560045,0.6015625,0.28888888888888886,0.40625
33,0.36971965286692143,0.5625,0.4888888888888889,0.4
15,0.4526906307594883,0.609375,0.2222222222222222,0.4
11,0.4774603174603175,0.6171875,0.17777777777777778,0.4
55,0.28370693009155956,0.4921875,0.8222222222222222,0.39361702127659576
54,0.29741255144032924,0.4921875,0.8,0.391304347826087
57,0.27452145351304386,0.4765625,0.8666666666666667,0.39
34,0.36521167515611963,0.546875,0.5111111111111111,0.3898305084745763
52,0.3117548500881834,0.4921875,0.7777777777777778,0.3888888888888889
9,0.482616908717479,0.6171875,0.15555555555555556,0.3888888888888889
56,0.27810724395233755,0.4765625,0.8444444444444444,0.3877551020408163
36,0.35854129381179617,0.5390625,0.5333333333333333,0.3870967741935484
50,0.3177336860670194,0.4921875,0.7555555555555555,0.38636363636363635
53,0.3017286960538647,0.484375,0.7777777777777778,0.38461538461538464
35,0.3607758848735355,0.5390625,0.5111111111111111,0.38333333333333336
51,0.3123157429477372,0.484375,0.7555555555555555,0.38202247191011235
58,0.2640904581529581,0.453125,0.8888888888888888,0.38095238095238093
37,0.3572702544024184,0.53125,0.5333333333333333,0.38095238095238093
60,0.2417114101679319,0.4453125,0.9111111111111111,0.37962962962962965
49,0.31832799627692454,0.484375,0.7333333333333333,0.3793103448275862
59,0.249031376891842,0.4453125,0.8888888888888888,0.37735849056603776
48,0.3200490661601773,0.484375,0.7111111111111111,0.3764705882352941
61,0.23615430590887215,0.4375,0.9111111111111111,0.3761467889908257
47,0.32120669117992634,0.4765625,0.6888888888888889,0.36904761904761907
65,0.21035714285714283,0.3984375,0.9777777777777777,0.36666666666666664
40,0.34112381094983735,0.5,0.5777777777777777,0.36619718309859156
62,0.21624338624338624,0.40625,0.9333333333333333,0.3652173913043478
42,0.33580889373150646,0.4921875,0.6,0.36486486486486486
64,0.2134022904483431,0.3984375,0.9555555555555556,0.3644067796610169
38,0.3472597218162968,0.5,0.5555555555555556,0.36231884057971014
63,0.21607145908643421,0.3984375,0.9333333333333333,0.3620689655172414
41,0.3368495526262669,0.4921875,0.5777777777777777,0.3611111111111111
43,0.335474537037037,0.484375,0.6,0.36
46,0.32557763682171836,0.46875,0.6444444444444445,0.35802469135802467
39,0.34585064935064935,0.4921875,0.5555555555555556,0.35714285714285715
44,0.32904985754985755,0.46875,0.6222222222222222,0.35443037974683544
66,0.12555555555555556,0.359375,1.0,0.3543307086614173
45,0.32626014891779886,0.4609375,0.6222222222222222,0.35
8,0.49058887967159914,0.609375,0.1111111111111111,0.3333333333333333
5,0.5332106094621698,0.625,0.06666666666666667,0.3333333333333333
6,0.4927185155274411,0.609375,0.08888888888888889,0.3076923076923077
7,0.4911567900466467,0.6015625,0.08888888888888889,0.2857142857142857
4,0.557462962962963,0.6171875,0.022222222222222223,0.16666666666666666
1,0.7338918707531189,0.6484375,0.0,0.0
3,0.5988132554902701,0.6171875,0.0,0.0
2,0.6141170043843754,0.625,0.0,0.0
0,1.7338918707531188,0.6484375,0.0,0.0
