,thresholds,accuracy,recall,precision
17,0.5258857142857143,0.6328125,0.26,0.5652173913043478
11,0.5423489071903705,0.6171875,0.14,0.5384615384615384
12,0.5376712328767124,0.6171875,0.16,0.5333333333333333
14,0.536,0.6171875,0.18,0.5294117647058824
16,0.534,0.6171875,0.2,0.5263157894736842
20,0.5055777546158428,0.6171875,0.32,0.5161290322580645
21,0.502,0.6171875,0.34,0.5151515151515151
23,0.4928433904259991,0.6171875,0.36,0.5142857142857142
6,0.5713333333333332,0.609375,0.06,0.5
24,0.49,0.609375,0.36,0.5
8,0.562,0.609375,0.08,0.5
25,0.488,0.609375,0.38,0.5
4,0.592,0.609375,0.04,0.5
13,0.5374998043052838,0.609375,0.16,0.5
15,0.5357857142857142,0.609375,0.18,0.5
22,0.5,0.609375,0.34,0.5
2,0.6149166666666667,0.609375,0.02,0.5
18,0.5167625920595349,0.609375,0.28,0.5
10,0.5514121793821793,0.609375,0.1,0.5
26,0.486,0.6015625,0.38,0.48717948717948717
19,0.514,0.6015625,0.28,0.4827586206896552
31,0.4632721990602872,0.5859375,0.46,0.46938775510204084
30,0.47,0.5859375,0.44,0.46808510638297873
32,0.46125,0.578125,0.46,0.46
29,0.47590909090909095,0.578125,0.4,0.45454545454545453
27,0.47726262626262633,0.578125,0.38,0.4523809523809524
9,0.556,0.6015625,0.08,0.4444444444444444
33,0.45009090909090904,0.5625,0.48,0.4444444444444444
28,0.476,0.5703125,0.38,0.4418604651162791
34,0.45,0.5546875,0.48,0.43636363636363634
40,0.41558032378580323,0.5390625,0.6,0.43478260869565216
39,0.42417038765391735,0.5390625,0.58,0.43283582089552236
35,0.436,0.546875,0.5,0.43103448275862066
38,0.426,0.5390625,0.56,0.4307692307692308
41,0.414,0.53125,0.6,0.42857142857142855
7,0.5659672131147541,0.6015625,0.06,0.42857142857142855
37,0.43,0.5390625,0.54,0.42857142857142855
36,0.432,0.5390625,0.5,0.423728813559322
44,0.402,0.5078125,0.62,0.41333333333333333
48,0.39775,0.5,0.66,0.4125
42,0.4079672131147541,0.5078125,0.6,0.410958904109589
46,0.3982474308300395,0.5,0.64,0.41025641025641024
50,0.394,0.4921875,0.68,0.40963855421686746
45,0.3999466666666667,0.5,0.62,0.40789473684210525
49,0.396,0.4921875,0.66,0.4074074074074074
43,0.40525,0.5,0.6,0.40540540540540543
47,0.39794666666666667,0.4921875,0.64,0.4050632911392405
51,0.39394666666666667,0.484375,0.68,0.40476190476190477
5,0.5892452011306806,0.6015625,0.04,0.4
52,0.38596721311475407,0.46875,0.7,0.3977272727272727
67,0.32,0.4140625,0.96,0.39669421487603307
68,0.314,0.40625,0.96,0.39344262295081966
53,0.382,0.4609375,0.7,0.39325842696629215
66,0.324,0.40625,0.94,0.39166666666666666
69,0.284,0.390625,0.98,0.3888888888888889
70,0.248,0.3828125,0.98,0.3858267716535433
54,0.378,0.4453125,0.7,0.38461538461538464
55,0.376,0.4375,0.7,0.3804347826086957
59,0.364,0.4140625,0.78,0.3786407766990291
61,0.36,0.40625,0.8,0.37735849056603776
60,0.362,0.40625,0.78,0.375
63,0.356,0.390625,0.82,0.37272727272727274
58,0.366,0.40625,0.76,0.37254901960784315
62,0.35964786324786324,0.390625,0.8,0.37037037037037035
64,0.354,0.3828125,0.82,0.36936936936936937
65,0.3425,0.375,0.84,0.3684210526315789
56,0.37183999999999995,0.40625,0.72,0.3673469387755102
57,0.368,0.3984375,0.72,0.36363636363636365
3,0.6073339581019375,0.6015625,0.02,0.3333333333333333
1,0.68,0.609375,0.0,0.0
0,1.6800000000000002,0.609375,0.0,0.0
