,thresholds,accuracy,recall,precision
5,0.5241111111111112,0.660377358490566,0.08571428571428572,0.42857142857142855
4,0.5340972222222224,0.660377358490566,0.05714285714285714,0.4
7,0.5117592592592592,0.6509433962264151,0.11428571428571428,0.4
11,0.4781481481481482,0.6320754716981132,0.2,0.3888888888888889
10,0.48034407251886935,0.6320754716981132,0.17142857142857143,0.375
6,0.5171864197530865,0.6509433962264151,0.08571428571428572,0.375
12,0.4759259259259259,0.6226415094339622,0.2,0.3684210526315789
8,0.5088518518518519,0.6415094339622641,0.11428571428571428,0.36363636363636365
37,0.29694444444444446,0.49056603773584906,0.7142857142857143,0.36231884057971014
39,0.2923148148148148,0.4811320754716981,0.7428571428571429,0.3611111111111111
35,0.30819444444444444,0.49056603773584906,0.6857142857142857,0.3582089552238806
9,0.496111111111111,0.6320754716981132,0.14285714285714285,0.35714285714285715
29,0.33553703703703713,0.5188679245283019,0.5714285714285714,0.35714285714285715
38,0.29648148148148146,0.4811320754716981,0.7142857142857143,0.35714285714285715
40,0.28805555555555556,0.4716981132075472,0.7428571428571429,0.3561643835616438
33,0.31333333333333335,0.49056603773584906,0.6571428571428571,0.35384615384615387
36,0.3030555555555556,0.4811320754716981,0.6857142857142857,0.35294117647058826
30,0.33212962962962966,0.5094339622641509,0.5714285714285714,0.3508771929824561
32,0.31583333333333335,0.49056603773584906,0.6285714285714286,0.3492063492063492
34,0.3089814814814815,0.4811320754716981,0.6571428571428571,0.3484848484848485
42,0.27203703703703697,0.4339622641509434,0.8,0.345679012345679
28,0.3392037037037037,0.5094339622641509,0.5428571428571428,0.34545454545454546
43,0.25546296296296295,0.42452830188679247,0.8285714285714286,0.34523809523809523
45,0.23970370370370372,0.41509433962264153,0.8571428571428571,0.3448275862068966
31,0.32000000000000006,0.49056603773584906,0.6,0.3442622950819672
41,0.28092592592592586,0.4339622641509434,0.7714285714285715,0.34177215189873417
44,0.2549074074074074,0.41509433962264153,0.8285714285714286,0.3411764705882353
46,0.23444444444444448,0.4056603773584906,0.8571428571428571,0.3409090909090909
27,0.3400925925925924,0.5094339622641509,0.5142857142857142,0.33962264150943394
55,0.10685185185185185,0.33962264150943394,1.0,0.3333333333333333
25,0.3471296296296297,0.5094339622641509,0.4857142857142857,0.3333333333333333
3,0.5451631393298059,0.660377358490566,0.02857142857142857,0.3333333333333333
53,0.15898148148148147,0.33962264150943394,0.9714285714285714,0.3300970873786408
51,0.1787962962962963,0.3490566037735849,0.9428571428571428,0.33
54,0.13175925925925924,0.330188679245283,0.9714285714285714,0.3269230769230769
26,0.3446459694989107,0.5,0.4857142857142857,0.3269230769230769
52,0.17620370370370364,0.33962264150943394,0.9428571428571428,0.32673267326732675
49,0.18388888888888888,0.3490566037735849,0.9142857142857143,0.32653061224489793
23,0.3670987654320987,0.5094339622641509,0.45714285714285713,0.32653061224489793
50,0.17888888888888888,0.33962264150943394,0.9142857142857143,0.32323232323232326
47,0.19425925925925927,0.3490566037735849,0.8857142857142857,0.3229166666666667
24,0.3547067901234567,0.5,0.45714285714285713,0.32
48,0.18740740740740744,0.33962264150943394,0.8857142857142857,0.31958762886597936
22,0.37053703703703694,0.5094339622641509,0.42857142857142855,0.3191489361702128
21,0.38361111111111124,0.49056603773584906,0.34285714285714286,0.27906976744186046
19,0.394074074074074,0.49056603773584906,0.3142857142857143,0.2682926829268293
20,0.3853703703703703,0.4811320754716981,0.3142857142857143,0.2619047619047619
17,0.3961700336700337,0.49056603773584906,0.2857142857142857,0.2564102564102564
18,0.39430090334236684,0.4811320754716981,0.2857142857142857,0.25
15,0.4027777777777778,0.5,0.2571428571428571,0.25
16,0.40157407407407403,0.49056603773584906,0.2571428571428571,0.24324324324324326
13,0.4237962962962962,0.5094339622641509,0.22857142857142856,0.24242424242424243
14,0.4116481481481481,0.5,0.22857142857142856,0.23529411764705882
1,0.6244770622895623,0.6698113207547169,0.0,0.0
2,0.5793209876543207,0.660377358490566,0.0,0.0
0,1.6244770622895623,0.6698113207547169,0.0,0.0
