,thresholds,accuracy,recall,precision
10,0.2611111111111111,0.3,0.8571428571428571,0.3157894736842105
8,0.4222222222222222,0.4,0.5714285714285714,0.3076923076923077
6,0.43222222222222223,0.45,0.42857142857142855,0.3
9,0.34,0.3,0.7142857142857143,0.29411764705882354
7,0.42333333333333334,0.4,0.42857142857142855,0.2727272727272727
4,0.45,0.45,0.2857142857142857,0.25
5,0.44222222222222224,0.4,0.2857142857142857,0.2222222222222222
3,0.46,0.4,0.14285714285714285,0.14285714285714285
0,1.5866666666666667,0.65,0.0,0.0
1,0.5866666666666667,0.65,0.0,0.0
2,0.47,0.4,0.0,0.0
